						
						
						
Остатки ТМЦ на складах						
На дату: 24.09.14						
По фирме "Босенко Вероника Николаевна(Основной учет)". По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Нож, 18 мм выдвижное трапециевидное лезвие // Sparta 78977/78974		упак	19.00	1.000	19.00	
Нож, 18 мм выдвижное трапециевидное лезвие // Sparta 78977/78974		упак	20.00	7.000	140.00	
Органайзер двухсторонний 22*14*5см//Сибртех 90737		шт	65.00	1.000	65.00	
Полотно для ручного лобзика 130мм 20шт.//Россия 24050		шт	8.00	76.000	608.00	
Саморез универсальный  3*30мм желтый		упак	20.00	16.000	320.00	
Сверло алмазное по керамической плитке и стеклу, 8 мм, цилиндрический хвостовик// SPA 728085		упак	20.00	10.000	200.00	
Сверло по бетону, 4 х 75 мм, 3-гранный хвостовик// Matrix 70701		упак	19.00	3.000	57.00	
Сверло по бетону, 4 х 75 мм, 3-гранный хвостовик// Matrix 70701		упак	20.00	4.000	80.00	
Сверло по бетону, 5 х 85 мм, 3-гранный хвостовик// Matrix 70702		упак	20.00	8.000	160.00	
Сверло по бетону, 6 х 100 мм, 3-гранный хвостовик// Matrix 70704		упак	20.00	2.000	40.00	
Сверло по бетону, 8 х 120 мм, 3-гранный хвостовик// Matrix 70707		упак	19.00	1.000	19.00	
Сверло по бетону, 8 х 120 мм, 3-гранный хвостовик// Matrix 70707		упак	20.00	10.000	200.00	
Струбцина клещеобразная,пл.корп.,2-х комп.рукоятки.усиленная пружина,2-3/4 20786		шт	230.00	2.000	460.00	
Уровень  600мм, 3 глазка, красный, Sparta 348205		шт	 	3.000	 	
Щетка сметка для снега со скребком 580 мм, Россия // Sparta 55291		шт	2'420.00	1.000	2'420.00	
Щетка-сметка для снега со скребком телескопическая, 770-990 мм // Stels 55306		шт	70.00	2.000	140.00	
"Лина 1" Доска глад.(ДСП1120х345),пу,пр. ДЛ1		шт	580.00	1.000	580.00	
"Лина 2" Доска гладильная (ДСП1065х290),пу,пр. ДЛ2		шт	530.00	1.000	530.00	
"Лина 4" Доска глад. (ДСП1120х345),пу,пр,удл. ДЛ4		шт	660.00	1.000	660.00	
"НИКА 1+" Доска глад. (1225х345)пу,б/пр. Н1+		шт	770.00	1.000	770.00	
"НИКА 10" Доска глад. металл.(1220х400)пу,б/пр,удл. Н10		шт	1'240.00	1.000	1'240.00	
"НИКА 11" Доска гл (1220х400)пу,пр,пд/б,удл+держ. Н11		шт	1'560.00	1.000	1'560.00	
"НИКА 12" Доска гл (1220х400)пу,пр,пд/б,удл+держ. Н12		шт	1'590.00	1.000	1'590.00	
"НИКА 2" Доска гладильная (1100х300),пу,пр. Н2		шт	730.00	1.000	730.00	
"НИКА 3" Доска глад. (1225х345),пу,пр,удл. Н3		шт	950.00	1.000	950.00	
"НИКА 4" Доска глад.(1225х345)пу,пр,удл. Н4		шт	860.00	1.000	860.00	
"НИКА 5" Доска глад. (1220х350),		шт	690.00	1.000	690.00	
"НИКА 7" Доска глад.(1225х380)пу,пр,пд/б,удл. Н7		шт	1'090.00	2.000	2'180.00	
"НИКА 8" Доска глад. (1220х400)пу,пр,пд/б,удл. Н8		шт	1'190.00	1.000	1'190.00	
"НИКА 9" Доска гл (1220х400)пу пр пд/б удл+держ. Н9		шт	1'490.00	1.000	1'490.00	
Банкетка  для обуви 3-х ярусная  440*330*500 ЛДСП черная Б2		шт	1'100.00	1.000	1'100.00	
Вешалка гардеробная  длина 910мм* шир.765мм* выс.1635мм. 5,6кг. ВГ90/Ч		шт	20.00	25.000	500.00	
Вешалка напольная 5крючка  ВК5  ЧЕРНАЯ ВК5 /Ч		шт	490.00	1.000	490.00	
Вешалка настенная 284х188мм (3 крючка) ВН3 черная /белая ВН3		шт	160.00	2.000	320.00	
Вешалка настенная 484х188мм (5 крючков) белая ВН5 ВН5		шт	200.00	1.000	200.00	
Вешалка настенная металлическая 7крючков белая ВНТ7/Б		шт	1'400.00	1.000	1'400.00	
Вешалка настенная с полкой 400х238х268мм (4 крючка) ВП4 ВП4		шт	395.00	5.000	1'975.00	
К-т "Познайка КП2"(стол+стул мягк) КП2		шт	1'440.00	2.000	2'880.00	
Комплект"Алина" (стол+стулЛДСП) КА1		шт	1'290.00	1.000	1'290.00	
Подрукавник складной 50*9		шт	115.00	1.000	115.00	
Решетка деревянная большая(700х350) РВ-5		шт	270.00	2.000	540.00	
Сиденье в ванну "Классик" СВ2 СВ2		шт	360.00	4.000	1'440.00	
Сиденье в ванну "Эконом" СВ1 СВ1		шт	330.00	9.000	2'970.00	
Сиденье в ванну раздвижное. СВ3 СВ3		шт	530.00	3.000	1'590.00	
Сиденье пластик раздвижное  СВ5 СВ5		шт	490.00	1.000	490.00	
Скамейка садовая складная СК		шт	750.00	1.000	750.00	
Стол из набора АЛИНА		шт	1'000.00	1.000	1'000.00	
Стол туристический складной h-500мм(620мм) столешница 750мм*500мм ТСТ		шт	730.00	2.000	1'460.00	
Стремянка 2-х сторонняя 2ступ H-55см  S-395*195 ДЛС		шт	215.00	1.000	215.00	
Стремянка 2-х сторонняя 2ступ H-55см  S-395*195 ДЛС		шт	260.00	2.000	520.00	
Стремянка широкие 3 ступени (металл). СМ3		шт	890.00	1.000	890.00	
Стремянка широкие 4 ступени (металл). СМ4		шт	1'090.00	1.000	1'090.00	
Стремянка широкие 5 ступеней (металл). СМ5		шт	1'190.00	2.000	2'380.00	
Стремянка широкие 6 ступеней (металл). СМ6		шт	1'390.00	2.000	2'780.00	
Стремянка широкие 7 ступеней (металл). СМ7		шт	1'540.00	2.000	3'080.00	
Стремянка широкие 8 ступеней (металл). СМ8		шт	1'690.00	1.000	1'690.00	
Стул дачный складной ДС дс		шт	240.00	2.000	480.00	
Стул из набора  АЛИНА		шт	290.00	1.000	290.00	
Стул походный№3 со спинкой складн.(тр.диам.16) ПС2 ПС2		шт	390.00	2.000	780.00	
Стул складной детский мягкий СТУ3		шт	660.00	1.000	660.00	
Стул туриста (сиденье ЛДСП) ТС ТС		шт	330.00	3.000	990.00	
Сушилка 10 для белья напольн. складн.(100х55х96). СБ3 СБ3		шт	590.00	1.000	590.00	
Сушилка 18 для белья напольная складная(180х55х96) СБ1		шт	720.00	5.000	3'600.00	
Сушилка 18 цв.белый для белья напольная (180х55х96) СБ1Б		шт	720.00	3.000	2'160.00	
Сушилка 20 для белья напольная складная(200х55х96). СБ2		шт	760.00	4.000	3'040.00	
Сушилка 20 цв.белый для белья напольная (200х55х96). СБ2Б		шт	760.00	6.000	4'560.00	
Сушилка д/белья настенная "Бриз- 60см" белая Бриз		шт	450.00	1.000	450.00	
Таб. "Фаворит 1" винилискожа.с ободом на 4-х оп. (круг. сид.). ТФ01		шт	600.00	5.000	3'000.00	
Таб. "Фаворит 2" без об. на 4-х оп. (круг. сид.). ТФ02 ТФ02		шт	535.00	6.000	3'210.00	
Таб. "Фаворит 3" без об. на 4-х оп. (кв. сид.320х320). ТФ03		шт	555.00	7.000	3'885.00	
Табурет "Классика 2" на 4-х опорах БЕЖЕВАЯ (круглое сидение). ТК02 ТК02		шт	395.00	6.000	2'370.00	
Табурет "Классика 3" на 4-х опорах КОРИЧНЕВАЯ (квадр. сидение). ТК03 ТК03		шт	440.00	4.000	1'760.00	
Табурет "Классика 3" на 4-х опорах СВ.БЕЖЕВАЯ (квадр. сидение). ТК03 ТКО3		шт	90.00	2.000	180.00	
Табурет на 4-х оп. 285*285 квадр.сид.ДСП,винилискожа ТБ2 корич ТБ2		шт	510.00	2.000	1'020.00	
Табуретка "Эконом" квадрат.сиденье ТЭ3 ТЭ3		шт	660.00	2.000	1'320.00	
Чехол на гл.доску БЯЗЬ 1290*395 мм Ч1		шт	110.00	6.000	660.00	
Чехол с порол. антипр. для дос. гл. ЧПА ЧПА		шт	220.00	2.000	440.00	
Чехол с поролоном для доски глад. (бязь 1290*400). ЧП1 ЧП1		шт	135.00	4.000	540.00	
Чехол с поролоном для доски глад. (бязь 1290*510). ЧП2 ЧП2		шт	160.00	4.000	640.00	
Этажерка 1 д/обуви разб (700х660х300) 4 полки СЕРАЯ ЭТ1 ЭТ1/С		шт	250.00	8.000	2'000.00	
Этажерка 1 д/обуви разб (700х660х300) 4 полки ЭТ1медная ЭТ1/А		шт	860.00	2.000	1'720.00	
Этажерка 2 д/обуви узк (700х465х300) 4полки ЧЕРНАЯ  ЭТ2 ЭТ2 Ч		шт	670.00	1.000	670.00	
Этажерка 3 д/обуви (435х660х300) 2п Черная  ЭТ3 ЭТ3 Черная		шт	560.00	2.000	1'120.00	
Этажерка"Комфорт 2" (360х330х800) 2-х ярусная  серая  ЭТК 2 ЭТК 2/с		шт	785.00	2.000	1'570.00	
Этажерка"Комфорт1"узк (500х330х450) 3-х ярус серая ЭТК 1 ЭТК1/С		шт	820.00	1.000	820.00	
Этажерка"Комфорт3"(590х330х800) 3-х ярус ЭТК 3 ЭТК 3		шт	995.00	1.000	995.00	
Этажерка"Люкс 1"(360х330х800) 2-х ярус винил ЭТЛ 1 ЭТЛ 1		шт	1'060.00	1.000	1'060.00	
Этажерка"Люкс 2"(360х330х800) 2-х ярус сидМДФ ЭТЛ 2 ЭТЛ 2		шт	1'190.00	2.000	2'380.00	
MIRAX 400 молоток слесарный с фиберглассовой рукояткой 20031-04		шт	145.00	2.000	290.00	
MS-20 стриппер многофункц.,0,75-6мм2,STAYER 2265-21		шт	150.00	3.000	450.00	
Адаптер STAYER гибкий, 200мм 25512-20		шт	35.00	1.000	35.00	
Биты KRAFTOOL "EXPERT" торсионные кованые, обточенные, Cr-Мо стать, тип хвостовика С 26121-1-25-10		шт	310.00	1.000	310.00	
Бокорезы TopGrip 180мм STAYER 2205-5-18		шт	210.00	1.000	210.00	
Болторез компактный 60 HRC 200мм 23310-020		шт	330.00	1.000	330.00	
Головка торцовая ЗУБР МАСТЕР FLANK 13мм/22мм 27715-13/27725-22		шт	553.00	1.000	553.00	
Головка торцовая ЗУБР МАСТЕР FLANK 8мм/10мм 27715-08/27715-10		шт	115.00	1.000	115.00	
Зубило-конопатка STAYER "MASTER" с протектором,230мм 2125		шт	90.00	9.000	810.00	
ЗУБР СТАНДАРТ 2м / 16мм рулетка с ударостойким корпусом (ABS) и противоскользящим пок 34016-2		шт	100.00	1.000	100.00	
ЗУБР СТАНДАРТ 3м / 16мм рулетка с ударостойким корпусом (ABS) и противоскользящим пок 34016-3		шт	130.00	2.000	260.00	
ЗУБР СТАНДАРТ 5м / 19мм рулетка с ударостойким корпусом (ABS) и противоскользящим пок 34016-5		шт	165.00	1.000	165.00	
К-т метчиков STAYER"MASTER"сталь 9ХС,М6*1,0, 2шт 28025-06-1,0-Н2		шт	25.00	7.000	175.00	
Карабин ЗУБР винтовой с муфтой, оцинкованный, 10мм, ТФ6, 1 шт 4-304536-10		шт	115.00	10.000	1'150.00	
Киянка STAYER резиновая,с дер.рукояткой, 0,34кг 20505-55		шт	270.00	2.000	540.00	
Ключ STAYER для патрона дрели, 13мм 29057-13		шт	25.00	1.000	25.00	
Ключ разводной 250мм TOP , MIRAX 27250-25		шт	230.00	4.000	920.00	
Ключ разводной 250мм TOP , MIRAX 27250-25		шт	330.00	2.000	660.00	
Ключ разводной КР-30, высоковольтный, 250 / 30 мм, НИЗ 27241-30		шт	370.00	1.000	370.00	
Ключ торцовый ЗУБР "МАСТЕР" двухсторонний L-образный, 8х10мм 27569-08-10		шт	290.00	4.000	1'160.00	
Ключ торцовый ЗУБР "МАСТЕР" двухсторонний L-образный, 8х10мм 27569-08-10		шт	360.00	2.000	720.00	
Ключ торцовый ЗУБР"МАСТЕР" 2-х стор,усил,6-ти гр.профиль,6*7мм 27190-06-07		шт	150.00	4.000	600.00	
Ключ трубный ,прямые губки,НИЗ№4 2731-4		шт	80.00	5.000	400.00	
Ключ трубный рычажный НИЗ, № 3 2731-3		шт	330.00	1.000	330.00	
Ключ трубный рычажный НИЗ,№ 0, 250мм 2731-0		шт	25.00	4.000	100.00	
Ключ трубный рычажный НИЗ,№ 1, 300мм 2731-1		шт	27.00	1.000	27.00	
Ключ трубный рычажный НИЗ,№ 2, 400мм 2731-2		шт	27.00	1.000	27.00	
Ключ трубный рычажный НИЗ,№ 4, 2731-4		шт	415.00	1.000	415.00	
Коронка-чашка ЗУБР "ПРОФЕССИОНАЛ" 32мм,высота 25мм,в сборе с державкой и сверлом 33360-032		шт	170.00	1.000	170.00	
Коронка-чашка ЗУБР "ПРОФЕССИОНАЛ" c карбид-вольфрамовым нанесением, 38 мм, высота 25 33360-038-z01		шт	445.00	1.000	445.00	
Коронка-чашка ЗУБР"ПРОФЕССИОНАЛ"51мм,высота 25мм,в сборе державкой и сверлом 33360-051		шт	260.00	2.000	520.00	
Набор STAYER "MASTER" Для врезки замков:коронка, перьевое сверло, державка, 54/22мм 29606-Н3/29605-Н3		шт	5'690.00	1.000	5'690.00	
Набор STAYER "MASTER":  8пр.Коронки по дереву,d=51-57-67-76-89-102 29600-H8		шт	0.50	408.000	204.00	
Набор STAYER "MASTER":  8пр.Коронки по дереву,d=51-57-67-76-89-102 29600-H8		шт	0.60	15.000	9.00	
Набор STAYER "MASTER": Абразивные минишарошки-насадки для гравера и дрели, хвостовик 2989-Н10		шт	75.00	1.000	75.00	
Набор STAYER "MASTER": Биты с торцевой головкой, в держателе, 9 предметов 26089-H9		шт	15.00	2.000	30.00	
Набор STAYER Сверла "MASTER"по бетону,6мм,с дюбелями,21пр. 29111-Н21-06		шт	25.00	5.000	125.00	
Набор STAYER Сверла "VASTER" по бетону,8мм,с дюбелями,21пр. 29111-Н21-08		шт	27.00	8.000	216.00	
Набор STAYER"MASTER"Биты с торцевой головкой,в держателе,9пр. 26089-Н9		шт	270.00	2.000	540.00	
Набор буров ЗУБР SDS- plus 3шт 6х160, 8х160, 10х160 мм 29314-H3-2		шт	210.00	10.000	2'100.00	
Набор мини-насадок STAYER"MASTER"для грав.машин,67пр,кейс 29903-Н67		шт	185.00	2.000	370.00	
Набор.Буры по бетону,SDS-plus,6/8/10*160мм,3шт,в боксе ЗУБР 29315-Н3		шт	25.00	7.000	175.00	
Ножовка "ИЖ"по дереву с узким полотном,шаг 4мм,300мм 15212-30		шт	100.00	20.000	2'000.00	
Опора бруса 100*140 открытый		шт	95.00	20.000	1'900.00	
Опора бруса 150*150 открытый		шт	110.00	10.000	1'100.00	
Органайзер пластиковый SPACE-15 STAYER 38038-15		шт	1'485.00	1.000	1'485.00	
Отвертка СИБИН с двухсторонним стержнем, 2 в1, PH №2 /SL 6мм, 70мм 2516		шт	75.00	1.000	75.00	
Переходник ЗУБР"МАСТЕР"оц."дрель-УШМ для опорных тарелок,d8мм,М14 35787-S		шт	120.00	2.000	240.00	
Пила сегментная наборная STAYER по дереву  26-64х32мм 2956-1,5		шт	200.00	1.000	200.00	
Пила сегментная наборная STAYER по дереву  26-64х32мм 2956-1,5		шт	312.00	1.000	312.00	
Плоскогубцы "TOPGrip",180мм 2205-1-18		шт	910.00	1.000	910.00	
Полировальная насадкаSTAYER"MASTER"из фетра на липучке d=125мм 35930-125		шт	105.00	2.000	210.00	
Режущий элемент STAYER для плиткорезов, арт. 3307-хх, 3318-хх, 22 / 2мм 3320-22		шт	325.00	1.000	325.00	
Сверло ЗУБР "МАСТЕР"  по бетону ударное 4х100мм 2922-100-04		шт	30.00	2.000	60.00	
Сверло ЗУБР "МЕТ-Ш" по металлу,  5,2x8,6мм, 1 шт 4-29625-086-5.2		шт	65.00	8.000	520.00	
Сверло ЗУБР "МЕТ-Ш" по металлу,  5,5x93мм, 1шт 4-29625-093-5.5		шт	65.00	8.000	520.00	
Сверло ЗУБР "МЕТ-Ш" по металлу,  6,5x101мм, 1шт 4-29625-101-6.5		шт	90.00	2.000	180.00	
Сверло ЗУБР "ЭКСПЕРТ" по бетону. цилиндрический хвостовик, 12x150мм 29140-150-12_z01		шт	100.00	2.000	200.00	
Сверло по металлу,сталь Р6М5,ЗУБР,d=2.0мм 4-29621-049-2		шт	55.00	2.000	110.00	
Сверло по металлу,сталь Р6М5,ЗУБР,d=3,0мм 4-29621-061-3		шт	50.00	3.000	150.00	
Скоба ЗУБР круглая с гвоздем, для крепления кабеля 12мм, 40шт 45111-12		шт	35.00	9.000	315.00	
Скоба ЗУБР круглая с гвоздем, для крепления кабеля 14мм, 30шт 45111-14		шт	35.00	10.000	350.00	
Скоба ЗУБР круглая с гвоздем, для крепления кабеля 4мм, 50шт 45111-04		шт	25.00	8.000	200.00	
Скоба ЗУБР прямоугольная с гвоздем, для крепления кабеля 12мм, 40шт 45112-12		шт	27.00	7.000	189.00	
Скоба ЗУБР прямоугольная с гвоздем, для крепления кабеля 14мм, 30шт 45112-14		шт	27.00	8.000	216.00	
Тиски настольные 75мм DEXX 32473-75		шт	290.00	4.000	1'160.00	
Тонкогубцы изогнутые "TOPGrip",120мм STAYER 2218-3_z02		шт	15.00	9.000	135.00	
Топорище ЗУБР "СТАНДАРТ" деревянное, 540мм 20953		шт	85.00	1.000	85.00	
Торцовая головка KRAFTOOL "INDUSTRIE QUALITAT", 1/2", 20 мм 27805-20 zOl		шт	85.00	2.000	170.00	
Торцовая головка KRAFTOOL "INDUSTRIE QUALITAT", 1/2", 29 мм 27805-29		шт	150.00	2.000	300.00	
Торцовая головка SKRAB CR-V (1/2") Cr-v.17мм 05267		шт	25.00	2.000	50.00	
Удлинитель для сверл перовых,с имб.кл,шестигр.хвостовик 1/4"L=300vv.STAYER 2952		шт	30.00	4.000	120.00	
Ящик для инструмента "VEGA-19"пластиковый,STAYER 38105-18		шт	30.00	4.000	120.00	
110 патрубок Переходной на 50  ПП ( рюмка)ПОЛИТЭК		шт	50.00	10.000	500.00	
1223 С Смеситель ванна OUTE  ф40мм.дивертор в корпусе  излив 35F		шт	270.00	3.000	810.00	
50 крепеж ПП  ПОЛИТЭК /  Водполимер		шт	9.00	4.000	36.00	
50 отвод угол 87" ПП  ПОЛИТЭК		шт	20.00	22.000	440.00	
50 патрубок 0,25м. ПП ПОЛИТЭК		шт	30.00	13.000	390.00	
D-Lin Кухня ф40мм.короткий поворотный нос на найве  151429-1 151429		шт	185.00	1.000	185.00	
D-Lin Кухня ф40мм.короткий поворотный нос на найве  151429-1 151429		шт	195.00	10.000	1'950.00	
N 305 S Перелив АНИ 3 1/2" с прямоуг.верт.корпусом гибкий		шт	85.00	7.000	595.00	
А 1000 сифон АНИ 1,5 Грот с отводом кухня 1000А		шт	113.00	1.000	113.00	
Американка GF 1  прямая		шт	145.00	3.000	435.00	
АНИ W 0210 Муфта  Прямая.унитаз 0210 W		шт	90.00	5.000	450.00	
АНИ ГРОТ А0110 Сифон 1 1/2*40 с гибкой трубой 40*50		шт	168.00	1.000	168.00	
АНИ ГРОТ А0110 Сифон 1 1/2*40 с гибкой трубой 40*50		шт	190.00	9.000	1'710.00	
АНИ ГРОТ А0145 Сифон 3 1/2 с переливом мойки		шт	530.00	2.000	1'060.00	
АНИ Е155 Сифон для ванны с выпуком и переливом 1 1/2 с гибкой трубой 40*50		шт	365.00	3.000	1'095.00	
АНИ Е155 Сифон для ванны с выпуком и переливом 1 1/2 с гибкой трубой 40*50		шт	370.00	3.000	1'110.00	
АНИ М040 Прокладка коническая 40мм  М040		шт	5.00	9.000	45.00	
АНИ М090 Прокладка плоская 1 1\2 40		шт	5.00	26.000	130.00	
АНИ М250 Выпуск 3 1/2* с нерж.сеткой		шт	320.00	1.000	320.00	
АНИ М300  Пробка для сифона		шт	15.00	8.000	120.00	
АНИ С5000 Сифон Варяг 1,25 " 5000 с 5000		шт	130.00	1.000	130.00	
Арматура УКЛАД(Псков) 2-х Кноп. хр  ниж/подв. 77. 57. 14,3 /. Кнопка хром 69,57		шт	340.00	1.000	340.00	
Аэратор внутр.резьба металл DK 380		шт	25.00	9.000	225.00	
Аэратор для смесителя Ledeme L73 н.резьба		шт	30.00	15.000	450.00	
Аэратор для смесителя Ledeme L73 н.резьба		шт	45.00	1.000	45.00	
Аэратор металл. нар.резьба DK-379		шт	25.00	10.000	250.00	
Бочата GF        1/2 x 1/4"		шт	45.00	6.000	270.00	
Бочата GF  3/4 нар Х 1/2" нар		шт	40.00	8.000	320.00	
Вантуз конический с деревянной ручкой d110		шт	62.00	1.000	62.00	
Вантуз универсальный ДВОЙНОЙ		шт	70.00	8.000	560.00	
Вентиль 20 TEBO		шт	170.00	2.000	340.00	
Вешалка 3 /5 крючка,хром А162-3 /5  Accoona 1/20/80 1623		шт	315.00	2.000	630.00	
Вешалка 4 подвижн.крючка А11091-4 Accoona  1109140 /  Ledeme1915-4		шт	395.00	1.000	395.00	
Газ шланг  резиновый 100 см ММ. / ПП  БЕЛЫЙ		шт	85.00	4.000	340.00	
Дивертор для смесителя Ledeme		шт	220.00	9.000	1'980.00	
Дивертор для смесителя Ledeme		шт	230.00	2.000	460.00	
Заглушка GF 1" нар/резьба		шт	90.00	7.000	630.00	
Заглушка ПП 25мм		шт	13.00	6.000	78.00	
Заглушка пробка GF 1/2" ****************		шт	270.00	1.000	270.00	
Заглушка с нар.рез. 1/2 CTM CRCM0012 CRCM0012		шт	30.00	10.000	300.00	
Излив S30см D65705 D-Lin 65705		шт	270.00	2.000	540.00	
Излив ванна круглый 18 Q DK 290 мм		упак	20.00	15.000	300.00	
Излив изогнутый для шарового смесителя DK 250 мм		шт	150.00	5.000	750.00	
Излив изогнутый для шарового смесителя DK 350 мм		шт	270.00	2.000	540.00	
Излив изогнутый для шарового смесителя DK 450 мм		упак	20.00	15.000	300.00	
Излив прямой для шарового смесителя DK 250 мм		шт	270.00	2.000	540.00	
Излив прямой для шарового смесителя DK 450 мм		упак	20.00	10.000	200.00	
Картридж ф 40мм OUTE TP81		шт	55.00	3.000	165.00	
Клапан 1/2 " RR д/водонагревателя станд.		шт	224.00	1.000	224.00	
Клапан обратный 1/2 Astek 360112/ 755 Украина 23		шт	119.00	2.000	238.00	
Клапан шаровый д/унитаза пластик А-50 (РБМ)		шт	25.00	3.000	75.00	
Колонка сливная 2-ух кноп,хром "Уклад" асд77,00,14,3		шт	150.00	1.000	150.00	
Кольцо на излив уп.100шт.   d14/19 5мм/25мм		упак	2.00	100.000	200.00	
Кольцо резиновое на американку 1/2" П-55		шт	45.00	1.000	45.00	
Кольцо штуцерное 16		шт	120.00	7.000	840.00	
Комплект крепления унитаза к полу (2шпильки)		шт	12.00	16.000	192.00	
Комплект крепления унитаза к полу (2шпильки)		шт	15.00	1.000	15.00	
Кран букса 18*1 рез. (Рос) цена за 1шт. уп.2шт. 575860Г		шт	80.00	4.000	320.00	
Кран шар Ledeme 3/4 баб.F/M L211		шт	170.00	3.000	510.00	
Кран шар. ГАЛЛОП 20 бабочка/ручка В/Н №231 /    СТМ 3/4  "Стандарт" CWFMH034		шт	213.00	4.000	852.00	
Кран шар.ГАЛЛОП  ГАЗ  15 ручка В*Н №221		шт	237.00	5.000	1'185.00	
Кран шар.ГАЛЛОП 15 бабочка  с удлинителем №232		шт	45.00	1.000	45.00	
Кран шар.ГАЛЛОП 15 ручка В*Н №221  СТМ 1/2  в/н  бабочка / ручка "Стандарт" CWFMB012/CWFMН012		шт	140.00	1.000	140.00	
Кран шар.ГАЛЛОП 20 бабочка В*В №230		шт	213.00	5.000	1'065.00	
Кран шаровый ГАЛЛОП ГАЗ 15  бабочка В*Н  №231		шт	640.00	2.000	1'280.00	
Крепление к сиденью "Виктория" белое (компл)		шт	40.00	17.000	680.00	
Крепление к сиденью"Вир"(пара)  / серии Эконом 1214 55336		шт	20.00	6.000	120.00	
Крышка на гайку декоративная 35мм LH201-1		шт	60.00	12.000	720.00	
Крючок LEDEME одинарный пластик 202-1		шт	35.00	49.000	1'715.00	
Лейка LEDEME кнопка старт/стоп 24 L		шт	170.00	1.000	170.00	
Лейка д/душа Edeny Е001		шт	80.00	3.000	240.00	
Лейка д/душа Ledeme  L05  3режима		шт	150.00	2.000	300.00	
Лейка д/душа Ledeme  L08  1 режима		шт	115.00	3.000	345.00	
Лейка для душа OUTE с фильтром 23ТН 23ТН		шт	80.00	1.000	80.00	
Лента Фум вода (Россия) 12мм-0.1мм*7.5м уп.24шт 121601		шт	45.00	16.000	720.00	
М 110 Отвод АНИ 1,5" стиральная машина 110 М		шт	45.00	1.000	45.00	
Манжета  переходная D50*40		шт	12.00	20.000	240.00	
Манжета для ТАПЕРА переходная 110 х 124   ПП  ПОЛИТЭК		шт	35.00	6.000	210.00	
Манжета для ТАПЕРА переходная 110 х 124   ПП  ПОЛИТЭК		шт	50.00	1.000	50.00	
Манжета переходная 73*50 608		шт	20.00	7.000	140.00	
Манометр 16 бар SER вертикальный 1/4 "HP SER421 SER421		шт	8.00	5.000	40.00	
Мойка  "Декор" врезная 580 х 480 х 180 левая 65848 - L 513126		шт	1'000.00	1.000	1'000.00	
Мойка LEDEME "Глянцевая" 570 х 450 х 170  0,6 мм 85745 - 6 L		шт	3'000.00	1.000	3'000.00	
Муфта  комб.внутр.резьба 25* 3/4 TEBO		шт	41.00	8.000	328.00	
Муфта  комб.наружн.резьба 25*3/4 TEBO		шт	60.00	12.000	720.00	
Муфта комб. внут. резба  20 х 1/2" TEBO  /  ПП 20 x 1/2 вн.р  ПОЛИТЭК		шт	40.00	2.000	80.00	
Муфта переходная. 32/20 TEBO / Valfex		шт	6.00	7.000	42.00	
Муфта ремонтная ПП 110мм "Политэк" 301110		шт	55.00	11.000	605.00	
Муфта ремонтная ПП 40мм серая канал."Политэк"		шт	40.00	1.000	40.00	
Муфта соединительная 32 Политэк 1/50/150 513988		шт	10.00	1.000	10.00	
Мыльница  LEDEMEстеклянная  "Блюдце" настенная  1902 1902		шт	110.00	1.000	110.00	
Отвод ПП 110-30* "Политэк" 100130		шт	50.00	4.000	200.00	
Отвод ПП 50-45* "Политэк" 100545		шт	20.00	24.000	480.00	
Отражатель  декоративный разьемный 3/4"RR/   УЦЕНКАМ		упак	21.00	8.000	168.00	
Патрубок GF 20*1/2 Ц/Гайка		шт	78.00	13.000	1'014.00	
Патрубок GF 20*1/2 Ц/Гайка		шт	80.00	10.000	800.00	
Патрубок GF 20*1/2 Ц/Гайка		шт	140.00	1.000	140.00	
Патрубок GF 20*3/4 Ц/Штуцер		шт	110.00	10.000	1'100.00	
Патрубок S 16*16 ц/ц. /Муфта промежуточная 16х16 CTM CC001616 CC001616		шт	86.00	19.000	1'634.00	
Переходник     1/2" внутр.х  1/4" GF		шт	50.00	2.000	100.00	
Переходник     1/2" внутр.х 3/8" GF		шт	45.00	6.000	270.00	
Планка LEDEME c 2-я подвижн крючками 1915-2 1915-2		шт	35.00	17.000	595.00	
Подводка гибкая д/воды нерж. 0,6 г/г   г/ш пластиковый ключ		шт	75.00	1.000	75.00	
ПОДВОДКА гибкая д/воды нерж. 2,0 ПМ Аквалайн /ЗИП-ФЛЕКС 1436		шт	166.00	2.000	332.00	
Подводка д/воды сталь 1/2" г/г 80 cм CTM CWFHF080 CWFHF080		шт	122.00	3.000	366.00	
Подводка ЗИП-ФЛЕКС  150 см гибкая ПМ/ММ 150		шт	144.00	2.000	288.00	
Подводка ЗИП-ФЛЕКС  60 см гибкая ММ		шт	90.00	10.000	900.00	
Подводка ЗИП-ФЛЕКС  60 см гибкая ПМ		шт	90.00	8.000	720.00	
Подводка ЗИП-ФЛЕКС к смесителю  40 см (пара)		шт	110.00	1.000	110.00	
Подводка ЗИП-ФЛЕКС к смесителю  40 см (пара)		шт	120.00	3.000	360.00	
Подводка ЗИП-ФЛЕКС к смесителю  60 см.(пара)		шт	70.00	4.000	280.00	
Подводка ЗИП-ФЛЕКС к смесителю  60 см.(пара)		шт	140.00	3.000	420.00	
