							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Напильник с дерев. ручкой круглый 150мм ЕРМАК 645012		шт	45.00	 	 	1.000	45.00
Напильник с дерев. ручкой п/круглый 150мм ЕРМАК 645020		шт	70.00	 	 	2.000	140.00
Напильник с дерев. ручкой плоский 150мм ЕРМАК 645016		шт	60.00	 	 	2.000	120.00
Напильник с дерев. ручкой трехгранный 150мм ЕРМАК 645007		шт	60.00	 	 	2.000	120.00
Напильник с дерев. ручкой трехгранный 200мм Ермак 645008		шт	65.00	 	 	2.000	130.00
Напильник с дерев. ручкой трехгранный 250мм ЕРМАК 645009		шт	84.00	 	 	2.000	168.00
Напильник с дерев.ручкой круглый 200мм ЕРМАК 645013		шт	75.00	 	 	2.000	150.00
Напильник треугольный 6" по металлу 150мм 645121		шт	25.00	 	 	3.000	75.00
Насадка магнитн. для кровельных саморезов на 8 мм FD-G04 уп 5 шт Ермак 653166		шт	50.00	 	 	3.000	150.00
Насадка магнитная для кровельных саморезов на 10мм 653039		шт	40.00	 	 	4.000	160.00
Нож для линолиума, для резки напольных покрытий Sturm 1076-02-P1 176021		шт	115.00	 	 	1.000	115.00
Нож пистолетный с квадратным фиксатором GD-216А, 18мм 641096		шт	35.00	 	 	5.000	175.00
Нож пистолетный с круглым фиксатором GD-225А2, 18мм 641097		шт	45.00	 	 	4.000	180.00
Ножницы по металлу  Sturm  (25см)  # 1074-05-25 008194		шт	250.00	 	 	1.000	250.00
Ножницы по металлу универсальные Ермак (3251) 664076		шт	210.00	 	 	2.000	420.00
Ножницы по металлу универсальные Профи с двукомп. ручками (4251) 664079		шт	250.00	 	 	2.000	500.00
Ножовка выкружная "Ординар" прямой, шаг 3 мм, 300мм, Дельта 10350		шт	200.00	 	 	1.000	200.00
Ножовка по дереву 10B, 400мм, зуб 5мм. ЕРМАК		шт	175.00	 	 	1.000	175.00
Ножовка по дереву 10С,  450мм, с переменным зубом (Тефлон) ЕРМАК 663013		шт	330.00	 	 	1.000	330.00
Ножовка по дереву 10С,  450мм, с переменным зубом (Тефлон) ЕРМАК 663013		шт	350.00	 	 	1.000	350.00
Ножовка по дереву 10С, 500мм, с переменным зубом (Тефлон) ЕРМАК		шт	315.00	 	 	1.000	315.00
Ножовка по дереву 1A, 400мм, зуб 8мм. заточ. ЕРМАК		шт	240.00	 	 	1.000	240.00
Ножовка по дереву 3A, 400мм, зуб 8мм. ЕРМАК		шт	180.00	 	 	1.000	180.00
Ножовка по дереву 400мм D,(для сырой древес)закал.зуб двуст. заточка ЕРМАК 663015		шт	235.00	 	 	2.000	470.00
Ножовка по дереву 450мм.тефлон (У8Г-SK5) 3D заточка, 11-12 TPI (BLACK LUX) FALCO 663073		шт	330.00	 	 	1.000	330.00
Ножовка по дереву 450мм.тефлон (У8Г-SK5) 3D заточка, 11-12 TPI (BLACK LUX) FALCO 663073		шт	350.00	 	 	1.000	350.00
Ножовка по металлу (профи) 2 полотна в комплекте FALCO 663058		шт	365.00	 	 	1.000	365.00
Ножовка по металлу MULTI мал 663340		шт	30.00	 	 	4.000	120.00
Отвертка (JT9986) 6*150мм (-) ЕРМАК хром 651499		шт	70.00	 	 	2.000	140.00
Отвертка 2 в 1 ЕРМАК 3*50 желтая съемная ручка 651961		шт	20.00	 	 	4.000	80.00
Отвертка 2 в 1 ЕРМАК 3*50 красная съемная ручка 651971		шт	20.00	 	 	8.000	160.00
Отвертка 2 в 1 ЕРМАК 5*65 красная съемная ручка 651976		шт	32.00	 	 	3.000	96.00
Отвертка 2 в 1 ЕРМАК 5*65 красная съемная ручка 651976		шт	35.00	 	 	5.000	175.00
Отвертка 2 в 1 ЕРМАК 6*38 желтая съемная ручка 651962		шт	30.00	 	 	2.000	60.00
Отвертка 2 в 1 ЕРМАК 6*75 желтая  съемная ручка 651967		шт	44.00	 	 	1.000	44.00
Отвертка 2 в 1 ЕРМАК 6*75 желтая  съемная ручка 651967		шт	45.00	 	 	5.000	225.00
Отвертка PH1 5х75мм (+) (MASTER) FALCO 651014		шт	45.00	 	 	2.000	90.00
Отвертка RR PH1 5*150мм (+) Ермак (уп. 12шт.) 651108		шт	40.00	 	 	2.000	80.00
Отвертка RR PH1 5х100мм (+) ЕРМАК 651107		шт	45.00	 	 	3.000	135.00
Отвертка RR PH2 6х100мм (+) ЕРМАК 651110		шт	55.00	 	 	2.000	110.00
Отвертка RR PH2 6х150мм (+) Ермак (уп. 12шт.) 651111		шт	45.00	 	 	3.000	135.00
Отвертка RR PHO 3.2*100мм (+) Ермак (уп. 12шт.) 651105		шт	25.00	 	 	2.000	50.00
Отвертка RR PHO 3.2*100мм (+) Ермак (уп. 12шт.) 651105		шт	30.00	 	 	1.000	30.00
Отвертка RR PHO 3.2*150мм (+) Ермак (уп. 12шт.) 651106		шт	35.00	 	 	2.000	70.00
Отвертка RR PHO 3.2*63мм (+) Ермак (уп. 12шт.) 651104		шт	25.00	 	 	2.000	50.00
Отвертка RR PHO 4*100мм (+) Ермак (уп. 12шт.) 651133		шт	35.00	 	 	1.000	35.00
Отвертка RR SL 5х200мм (-) ЕРМАК (уп. 12шт.) 651097		шт	40.00	 	 	2.000	80.00
Отвертка комбинированная 170мм 4 пр (PH1, PH2, SL5мм, SL6мм) ЕРМАК 651007		шт	165.00	 	 	1.000	165.00
Отвертка крестовая с двухкомпонентной ручкой PH0*100 мм S2 ЕРМАК 651180		шт	50.00	 	 	2.000	100.00
Отвертка крестовая с двухкомпонентной ручкой PH1*100 мм S2 ЕРМАК 651183		шт	95.00	 	 	2.000	190.00
Отвертка многофункциональная 23 пр./HY-А655 651149		шт	340.00	 	 	1.000	340.00
Отвертка реверсивная PROFI AV-214F, 7пр. 651079		шт	385.00	 	 	1.000	385.00
Отвертка реверсивная PROFI AV-302, 9пр. 651083		шт	390.00	 	 	1.000	390.00
Отвертка Т-образная с набором бит 11пр. Ермак 651137		шт	105.00	 	 	1.000	105.00
Отвертка ударная с крас. резиновой ручкой в коробке 651600		шт	372.00	 	 	1.000	372.00
Отвертка-индикатор  (220мм,250В) (12/500) 4401		шт	15.00	 	 	5.000	75.00
Отвертка-индикатор 108/6875-17150 (250В) *(108) 24527		шт	10.00	 	 	1.000	10.00
Отвертка-индикатор MS-48NS (72) 16299		шт	105.00	 	 	1.000	105.00
Отвертка-индикатор Navigator NTP-E (10) 25988		шт	150.00	 	 	1.000	150.00
Отвертка-индикатор Navigator NTP-S (10) 25987		шт	70.00	 	 	1.000	70.00
Отвертка-индикатор Safeline многофункциональная 13185		шт	85.00	 	 	1.000	85.00
Отвертка-индикатор Фаза GK3 (20) 28645		шт	240.00	 	 	1.000	240.00
Отвертки набор 6032 (32в1, телекомуникацион.)  (120) 24982		шт	190.00	 	 	1.000	190.00
Отвертки набор 6036 (31в1, телекомуникацион.) (120) 27187		шт	135.00	 	 	1.000	135.00
Отвертки набор 6039 (31в1, телекомуникацион.) (120) 27186		шт	145.00	 	 	1.000	145.00
Отвертки часовые набор PROFI 12в1 (10) 17491		шт	240.00	 	 	1.000	240.00
Отвес конусный, 200гр Headman 684017		шт	92.00	 	 	2.000	184.00
Отвёртка Энергомаш крестовая Expert (Рh 1*200 мм, Cr-V, двухкомп. ручка) 10400-02-PH1 142120		шт	48.00	 	 	2.000	96.00
Отвёртка Энергомаш крестовая Expert (Рh 2*38 мм, Cr-V, двухкомп. ручка) 10400-02-PH2- 142238		шт	40.00	 	 	1.000	40.00
Отвёртка Энергомаш шлицевая Expert (SL 4*100 мм, Cr-V, двухкомп. ручка) 10400-02-SL4- 142410		шт	45.00	 	 	2.000	90.00
Отвёртка Энергомаш шлицевая Expert (SL 5*150 мм, Cr-V, двухкомп. ручка) 10400-02-SL5- 142515		шт	47.00	 	 	2.000	94.00
Отвёртка Энергомаш шлицевая Expert (SL 6*150 мм, Cr-V, двухкомп. ручка) 10400-02-SL6- 142615		шт	48.00	 	 	2.000	96.00
Отвёртка Энергомаш шлицевая Expert (SL 6*38 мм, Cr-V, двухкомп. ручка) 10400-02-SL6-3 142638		шт	40.00	 	 	1.000	40.00
Очки защитные открытого типа, затемненные, ударопрочный поликарбонат, бок, и верх, за 686347		шт	86.00	 	 	2.000	172.00
Очки защитные с дужками прозрачные, поликарбонатные 686184		шт	85.00	 	 	2.000	170.00
Пассатижи  Sturm  200 мм  с диэлектрическими рукоятками  1000 V  # 1020-03-1-200 264334		шт	220.00	 	 	2.000	440.00
Пассатижи комбинированные PROFI 150мм с двухцветной ручкой ЕРМАК 661004		шт	295.00	 	 	2.000	590.00
Пассатижи комбинированные PROFI 160мм Ермак 661203		шт	180.00	 	 	2.000	360.00
Пассатижи комбинированные PROFI 180мм Ермак 661208		шт	190.00	 	 	1.000	190.00
Пассатижи комбинированные PROFI 200мм Ермак 661209		шт	230.00	 	 	2.000	460.00
Пассатижи комбинированные шлифованные 160 мм 661009		шт	95.00	 	 	2.000	190.00
Пассатижи комбинированные шлифованные 180 мм 661010		шт	108.00	 	 	1.000	108.00
Пассатижи комбинированные шлифованные 200 мм 661011		шт	130.00	 	 	1.000	130.00
Пассатижи комбинированые 180мм (SL) с двухцветной ручкой ЕРМАК 661241		шт	185.00	 	 	2.000	370.00
Пассатижи комбинированые 200мм (SL) с двухцветной ручкой ЕРМАК 661252		шт	190.00	 	 	2.000	380.00
Пассатижи мини с двухцветной ручкой ЕРМАК 661024		шт	120.00	 	 	1.000	120.00
Пассатижи мини с двухцветной ручкой ЕРМАК 661024		шт	123.00	 	 	1.000	123.00
Патрон самозажимной 2-13мм, 1/2"-20 UNF ЕРМАК 646010		шт	260.00	 	 	1.000	260.00
Пилки для эл.лобзика (Bi-metal EU 51х2мм.) T-118BF, 5шт. ЕРМАК 664054		шт	105.00	 	 	2.000	210.00
Пилки для эл.лобзика (HCS EU 51х1,4мм.) T-101АО (дер., ламинат.,фиг.рез.) ЕРМАК 664355		шт	104.00	 	 	1.000	104.00
Пилки для эл.лобзика (HCS EU 51х1,4мм.) T-101АО (дер., ламинат.,фиг.рез.) ЕРМАК 664355		шт	105.00	 	 	1.000	105.00
Пилки для эл.лобзика (HCS EU 75х2,5мм.) T-101В (дер., ламин.,точн.рез.), 5шт. ЕРМАК 664313		шт	120.00	 	 	2.000	240.00
Пилки для эл.лобзика 118A pro (Diamond, для стекла/кафеля, аналог  Bosch T 130 Riff, 101195		шт	25.00	 	 	5.000	125.00
Пилки для эл.лобзика набор ( HSS/HCS) 5шт.(T-SET) ЕРМАК 664030		шт	125.00	 	 	3.000	375.00
Пилки для эл.лобзика набор (HSS/HCS, для дерева, металла, дсп, пластика, набор 10шт в 025092		упак	210.00	 	 	1.000	210.00
Пилки для электролобзика ( HCS EU 51*2мм) Т-119В 5шт на блистере. 664312		шт	57.00	 	 	1.000	57.00
Пилки для электролобзика ( HCS EU 51*2мм) Т-119В 5шт на блистере. 664312		шт	60.00	 	 	1.000	60.00
Пилки для электролобзика ( HCS EU 51*2мм) Т-119ВО 5шт на блистере 664272		шт	57.00	 	 	1.000	57.00
Пилки для электролобзика ( HCS EU 51*2мм) Т-119ВО 5шт на блистере 664272		шт	60.00	 	 	1.000	60.00
Пилки для электролобзика ( HCS EU 75*3мм) Т-111С 5шт на блистере 664293		шт	60.00	 	 	2.000	120.00
Пилки для электролобзика ( HCS EU 75*4мм) Т-244D 5пр Ермак 664339		шт	85.00	 	 	2.000	170.00
Пилки для электролобзика ( HCS/metal EU 51*1.2мм) Т-218A 664028		шт	130.00	 	 	2.000	260.00
Пистолет для монтажной пены ПРОФИ F204 641200		шт	486.00	 	 	2.000	972.00
Пистолет клеевой 15Вт (48) 17315		шт	145.00	 	 	1.000	145.00
Пистолет клеевой 40Вт (48) 16070		шт	180.00	 	 	1.000	180.00
Пистолет клеевой 60Вт (48) 16071		шт	255.00	 	 	1.000	255.00
Пленка укрывная с малярной лентой 0.55 м х 33 м, UNIBOB 669303		шт	200.00	 	 	2.000	400.00
Пленка укрывная с малярной лентой 1.1 м х 33 м, UNIBOB 669302		шт	296.00	 	 	2.000	592.00
Пленка укрывная с малярной лентой 2.6 м х 17 м, UNIBOB 669301		шт	359.00	 	 	2.000	718.00
Плоскогубцы переставные 160мм,с обр. ручками 661017		шт	60.00	 	 	2.000	120.00
Полотна (2 шт.) для ножовки по металлу 300мм., 18TPI (Bi-Metall) "Эксперт" ЕРМАК 663048		упак	115.00	 	 	1.000	115.00
Полотна (2 шт.) для ножовки по металлу 300мм., 18TPI (Bi-Metall) "Эксперт" ЕРМАК 663048		упак	116.00	 	 	1.000	116.00
Полотна (2 шт.) для ножовки по металлу 300мм., 32TPI (Bi-Metall+Cobalt-8%) ЕРМАК "Экс 663051		шт	116.00	 	 	2.000	232.00
Полотно для ножовки по металлу Sturm (2шт.) 9019-02-BIM-300 268783		упак	80.00	 	 	1.000	80.00
Полотно ножевочное 300мм закал зуб (100шт.) 663691		шт	10.00	 	 	17.000	170.00
Полотно ножовочное проволочное с вольфрамовым покрытием 300мм 702009		шт	100.00	 	 	1.000	100.00
Припой с канифолью 10 гр. 1.0мм (20) 16069		шт	45.00	 	 	4.000	180.00
Проникающая смазка от коррозии ВД>40110мл (172) 19299		шт	150.00	 	 	3.000	450.00
Просекатель для металлического профиля под гипсокартон FALCO 648003		шт	435.00	 	 	1.000	435.00
Резак для металлопластиковых труб PC-201 42мм ЕРМАК 653248		шт	300.00	 	 	1.000	300.00
Резец по дереву плоский нож (без ручки) 702014		шт	415.00	 	 	1.000	415.00
Резец по дереву полукруг бол.  гнутый (без ручки) 702010		шт	415.00	 	 	1.000	415.00
Резец по дереву полукруг бол.  прямой (без ручки) 702011		шт	415.00	 	 	1.000	415.00
Резец по дереву полукруг мал.  гнутый (без ручки) 702013		шт	415.00	 	 	1.000	415.00
Резец по дереву полукруг мал.  прямой (без ручки) 702012		шт	415.00	 	 	1.000	415.00
Ролик сменный для валика "ВЕЛЮР" шерсть/синтетика 180/d8 Headman 681005		шт	98.00	 	 	1.000	98.00
Ролик сменный для валика "ВЕЛЮР" шерсть/синтетика 180/d8 Headman 681005		шт	100.00	 	 	1.000	100.00
Ролик сменный для валика "НЕЙЛОН" полиамид 180/d8 Headman 681009		шт	150.00	 	 	2.000	300.00
Ролик сменный для валика "ПОРОЛОН" 180/d8 Headman 681007		шт	78.00	 	 	1.000	78.00
Рулетка  "Наутилус"  (7,5м)  "Энкор" 10167 064813		шт	160.00	 	 	2.000	320.00
Рулетка  Sturm   7,5 м * 25 мм  # 2010-01-7-25 011276		шт	210.00	 	 	1.000	210.00
Рулетка  Sturm  10 м * 32 мм  # 2010-01-10-32 016106		шт	350.00	 	 	1.000	350.00
Рулетка 3М 3 фиксатора, "Серая" Ермак 658138		шт	63.00	 	 	1.000	63.00
Рулетка 3М 3 фиксатора, "Серая" Ермак 658138		шт	65.00	 	 	1.000	65.00
Рулетка 5м " Магнит", 3 фиксатора, обрезин. корпус ЕРМАК 658019		шт	120.00	 	 	1.000	120.00
Рулетка 5М 3 фиксатора, "Желтая" ЕРМАК 658142		шт	105.00	 	 	2.000	210.00
Рулетка 7.5М 3 фиксатора, "Желтая" ЕРМАК 658143		шт	195.00	 	 	2.000	390.00
Рулетка Jobi 10м 658072		шт	170.00	 	 	2.000	340.00
Рулетка Jobi 5м /уп 12шт/ 658732		шт	80.00	 	 	2.000	160.00
Рулетка Jobi 7,5м 658733		шт	140.00	 	 	2.000	280.00
Рулетка-брелок 1M ЕРМАК 658156		шт	40.00	 	 	2.000	80.00
Ручка для валиков оцинкованная, 180/d8 Headman 681011		шт	80.00	 	 	1.000	80.00
Сверло для конфирматов 4мм. 702004		шт	120.00	 	 	2.000	240.00
Сверло для конфирматов 5мм. 702005		шт	120.00	 	 	2.000	240.00
Сверло наборное кольцевое 7 предметов 93901 (2") 649029		шт	100.00	 	 	2.000	200.00
Сверло по бетону 5х85 мм, с трехгр. хвостовиком ЕРМАК 649002		шт	27.00	 	 	1.000	27.00
Сверло по бетону 6х100мм, с трехгр. хвостовиком ЕРМАК 649004		шт	30.00	 	 	2.000	60.00
Сверло по бетону 6х200мм, с шестигр. хвостовиком FALCO 649144		шт	30.00	 	 	2.000	60.00
Сверло по бетону 8х120мм, с трехгр. хвостовиком ЕРМАК 649007		шт	40.00	 	 	2.000	80.00
Сверло по бетону 8х200мм FALCO 649135		шт	50.00	 	 	1.000	50.00
Сверло по дереву перовое 16*152мм ЕРМАК 649223		шт	41.00	 	 	2.000	82.00
Сверло по дереву перовое 22*152мм ЕРМАК 649226		шт	47.00	 	 	2.000	94.00
Сверло по дереву перовое 35*152мм ЕРМАК 649232		шт	75.00	 	 	1.000	75.00
Сверло по дереву перовое 45х152мм. ЕРМАК 649236		шт	117.00	 	 	2.000	234.00
Сверло по керамике и стеклу 5 мм 649103		шт	65.00	 	 	2.000	130.00
Сверло по керамике и стеклу 6 мм 649104		шт	75.00	 	 	1.000	75.00
Сверло по металлу 1,0мм. PROFI Р6М5 (класс точности В) 3шт. FALCO 649102		шт	25.00	 	 	1.000	25.00
Сверло по металлу 1,5мм. Р 6 М5 649038		шт	5.00	 	 	14.000	70.00
Сверло по металлу 10,5мм Р 6 М5 649184		шт	50.00	 	 	1.000	50.00
Сверло по металлу 10мм Р 6 М5 ЕРМАК 649070		шт	60.00	 	 	5.000	300.00
Сверло по металлу 12,5мм Р 6 М5 649071		шт	77.00	 	 	3.000	231.00
Сверло по металлу 2,0мм Р 6 М5 649040		шт	6.00	 	 	13.000	78.00
Сверло по металлу 2,5мм Р 6 М5 649044		шт	6.00	 	 	11.000	66.00
Сверло по металлу 2,6мм Р 6 М5 649045		шт	6.00	 	 	10.000	60.00
Сверло по металлу 2,7мм Р 6 М5 649188		шт	6.00	 	 	18.000	108.00
Сверло по металлу 3,0мм Р 6 М5 649047		шт	8.00	 	 	19.000	152.00
Сверло по металлу 3,2мм Р 6 М5 649048		шт	8.00	 	 	19.000	152.00
Сверло по металлу 3,5мм Р 6 М5 649050		шт	8.00	 	 	16.000	128.00
Сверло по металлу 3,6мм Р 6 М5 649051		шт	8.00	 	 	10.000	80.00
Сверло по металлу 4,0мм Р 6 М5 649054		шт	11.00	 	 	15.000	165.00
Сверло по металлу 4,2мм ЕРМАК 649086		шт	10.00	 	 	18.000	180.00
Сверло по металлу 4,5мм ЕРМАК 649087		шт	10.00	 	 	18.000	180.00
Сверло по металлу 4,7мм Р 6 М5 649192		шт	12.00	 	 	20.000	240.00
Сверло по металлу 4,8мм Р 6 М5 649057		шт	15.00	 	 	20.000	300.00
Сверло по металлу 5,0мм Р 6 М5 649058		шт	15.00	 	 	19.000	285.00
Сверло по металлу 5,5мм. Р 6 М5 649060		шт	15.00	 	 	20.000	300.00
Сверло по металлу 6,0мм ЕРМАК 649096		шт	15.00	 	 	13.000	195.00
Сверло по металлу 6,5мм Р 6 М5 649063		шт	21.00	 	 	9.000	189.00
Сверло по металлу 7,0мм 649064		шт	25.00	 	 	9.000	225.00
Сверло по металлу 7,5мм Р 6 М5 649065		шт	25.00	 	 	8.000	200.00
Сверло по металлу 8,0мм Р 6 М5 649066		шт	35.00	 	 	7.000	245.00
Сверло по металлу 9,0мм Р 6 М5 649068		шт	40.00	 	 	5.000	200.00
Сверло по металлу 9,5мм Р 6 М5 649069		шт	40.00	 	 	5.000	200.00
Сверло по металлу кобальтовое 1,0мм DIN 338 CO 702015		шт	20.00	 	 	2.000	40.00
Сверло по металлу кобальтовое 1,5мм DIN 338 CO 702017		шт	20.00	 	 	2.000	40.00
Сверло по металлу кобальтовое 12,5мм DIN 338 CO 702022		шт	410.00	 	 	1.000	410.00
Сверло по металлу кобальтовое 2,0мм DIN 338 CO 702016		шт	25.00	 	 	2.000	50.00
Сверло по металлу кобальтовое 4,0мм DIN 338 CO 702018		шт	50.00	 	 	2.000	100.00
Сверло по металлу кобальтовое 4,2мм DIN 338 CO 702019		шт	50.00	 	 	2.000	100.00
Сверло по металлу кобальтовое 7,0мм DIN 338 CO 702020		шт	135.00	 	 	1.000	135.00
Сверло по металлу кобальтовое 8,0мм DIN 338 CO 702021		шт	200.00	 	 	1.000	200.00
Сверло Фоснера D35мм (тип А) Ермак 649200		шт	130.00	 	 	1.000	130.00
Сетка абразивная /корунд/ 115х280 Р100 645180		шт	85.00	 	 	1.000	85.00
Сетка абразивная /корунд/ 115х280 Р60 645049		шт	10.00	 	 	10.000	100.00
Сетка абразивная /корунд/ 115х280 Р80 645050		шт	10.00	 	 	10.000	100.00
Сеткодержатель на винтах КОАН1008 (105*230) 645105		шт	145.00	 	 	2.000	290.00
Скобы закаленные 10мм (11,3*0,7мм) для мебельного степлера 1000шт. ЕРМАК 648035		шт	85.00	 	 	2.000	170.00
Скобы закаленные 12мм (10,6х1,2мм) для мебельного степлера 1000шт. ЕРМАК 648045		шт	90.00	 	 	2.000	180.00
Скобы закаленные 12мм (11,3*0,7мм) для мебельного степлера 1000шт. ЕРМАК 648036		шт	85.00	 	 	3.000	255.00
Скобы закаленные 14мм (10,6х1,2мм) для мебельного степлера 1000шт. ЕРМАК 648047		шт	93.00	 	 	1.000	93.00
Скобы закаленные 14мм (11,3х0,7мм) для мебельного степлера 1000шт. ЕРМАК 648037		шт	90.00	 	 	2.000	180.00
Скобы закаленные 6мм (10,6х1,2мм) для мебельного степлера 1000шт. ЕРМАК 648040		шт	75.00	 	 	2.000	150.00
Скобы закаленные 6мм (11,3*0,7мм) для мебельного степлера 1000шт. ЕРМАК 648032		шт	60.00	 	 	2.000	120.00
Скобы закаленные 8мм (10,6х1,2мм) для мебельного степлера 1000шт. ЕРМАК 648043		шт	77.00	 	 	1.000	77.00
Скобы закаленные 8мм (11,3х0,7мм) для мебельного степлера 1000шт. ЕРМАК 648033		шт	68.00	 	 	1.000	68.00
Скобы закаленные 8мм (11,3х0,7мм) для мебельного степлера 1000шт. ЕРМАК 648033		шт	70.00	 	 	1.000	70.00
Скотч прозрачный 50мм*150 (132м) 45мкм UNIVERSAL (6/36) 11267		шт	84.00	 	 	3.000	252.00
Смазка силиконовая RUNIS 85 мл 474011		шт	90.00	 	 	2.000	180.00
Стамеска Sturm прямая (24 мм) 1063-01-24 013850		шт	215.00	 	 	1.000	215.00
Стамеска Sturm прямая (28 мм) 1063-01-28 013867		шт	215.00	 	 	2.000	430.00
Стамеска Sturm прямая (28 мм) 1063-01-28 013867		шт	220.00	 	 	1.000	220.00
Стамеска Sturm прямая (32 мм) 1063-01-32 011177		шт	230.00	 	 	2.000	460.00
Стамеска-долото обрезинен ручка 25мм Ермак 667051		шт	210.00	 	 	1.000	210.00
Стамеска-долото обрезинен ручка 32мм ЕРМАК 667052		шт	240.00	 	 	1.000	240.00
Стеклорез 6-роликовый Sturm (ударопрочная пластиковая рукоятка) 1077-RO-01 269063		шт	70.00	 	 	1.000	70.00
Степлер Sturm ручной регулируемый (4-14 мм, типы T,U,H, блистер) 1071-01-02 020707		шт	435.00	 	 	2.000	870.00
Степлер мебельный (4-8мм)х11,3мм Ермак 648017		шт	372.00	 	 	1.000	372.00
Степлер мебельный 4-х функц. регулируемый (4-14мм)х10,6мм Ермак 648001		шт	548.00	 	 	1.000	548.00
Степлер мебельный 4-х функцион.(6-14мм)х10,6мм Ермак 648015		шт	845.00	 	 	1.000	845.00
Степлер мебельный пластик (6-14мм)х10,6мм. 4-х функцион.Ермак 648022		шт	450.00	 	 	1.000	450.00
Степлер мебельный регулируемый (4-14мм)х11,3мм.  Ермак 648016		шт	488.00	 	 	1.000	488.00
Струбцина G-тип 1" ЕРМАК 668021		шт	35.00	 	 	2.000	70.00
Струбцина G-тип 2" ЕРМАК 668022		шт	60.00	 	 	2.000	120.00
Тиски 70 мм 668551		шт	360.00	 	 	1.000	360.00
Тонкогубцы мини изогнутые с двухцветной ручкой ЕРМАК 661026		шт	126.00	 	 	2.000	252.00
Тонкогубцы шлифованные 160мм ЕРМАК 661874		шт	114.00	 	 	1.000	114.00
Тонкогубцы шлифованные 160мм ЕРМАК 661874		шт	115.00	 	 	1.000	115.00
Тонкогубцы шлифованные 200мм ЕРМАК 661875		шт	150.00	 	 	2.000	300.00
Точилка для режущих предметов, универсальная (50) 23402		шт	70.00	 	 	2.000	140.00
Трос металл., для прочистки труб 6мм х5м 669386		шт	260.00	 	 	1.000	260.00
Уголок-линейка 20*30см ЕРМАК 659102		шт	87.00	 	 	2.000	174.00
Уголок-линейка 40*60см ЕРМАК 659103		шт	200.00	 	 	1.000	200.00
Угольник алюмин. Sturm 250мм 2020-01-250 011313		шт	200.00	 	 	2.000	400.00
Угольник алюмин. Sturm 400мм 2020-01-A400 011375		шт	275.00	 	 	2.000	550.00
Уплотнитель резиновый D-профиль 6м AVIORA 302-080 (30) 12853		шт	190.00	 	 	1.000	190.00
Уплотнитель резиновый P-профиль 6м AVIORA 302-079 (30) 12852		шт	165.00	 	 	1.000	165.00
Уровень магнитный мини 15см ЕРМАК 659068		шт	90.00	 	 	1.000	90.00
Уровень строительный алюминевый-100см ЕРМАК 659096		шт	437.00	 	 	1.000	437.00
Уровень строительный алюминевый-40см Ермак 659093		шт	237.00	 	 	1.000	237.00
Уровень строительный алюминевый-60см Ермак 659094		шт	348.00	 	 	1.000	348.00
Уровень строительный алюминевый-80см ЕРМАК 659095		шт	434.00	 	 	1.000	434.00
Уровень строительный магнитный Sturm 225мм 2015-01-M225 011396		шт	75.00	 	 	2.000	150.00
Утеплитель 10мм*5мм*12м д/окон и дверей (порол) 231620		шт	60.00	 	 	2.000	120.00
Утеплитель 12мм*5мм*9м  изолоновый/240/блок 60 231147		шт	55.00	 	 	5.000	275.00
Утеплитель 15мм*10мм*6м д/окон и дверей (поролон)//блок 60 231837		шт	60.00	 	 	3.000	180.00
Утеплитель 15мм*5мм*12м поролоновый/90шт 231146		шт	80.00	 	 	4.000	320.00
Утеплитель 7мм*5мм*18м изолоновый/блок 60 231150		шт	70.00	 	 	3.000	210.00
Утеплитель 7мм*5мм*9м изолоновый/блок 60 231151		шт	40.00	 	 	5.000	200.00
Хомут 12-22 мм оцинкованный 788003		шт	15.00	 	 	2.000	30.00
Хомут 20-32 мм оцинкованный 788004		шт	17.00	 	 	10.000	170.00
Хомут 40-56 мм оцинкованный 788006		шт	20.00	 	 	10.000	200.00
Хомут 50-62 мм оцинкованный 788014		шт	21.00	 	 	10.000	210.00
Хомут 50-70 мм оцинкованный 788008		шт	23.00	 	 	6.000	138.00
Хомут NORMA 08-12мм (№-0812) 799001		шт	25.00	 	 	9.000	225.00
Хомут NORMA 10-16 мм (№-1016) 799006		шт	25.00	 	 	10.000	250.00
Хомут NORMA 12-22мм (№-1222) 799007		шт	26.00	 	 	10.000	260.00
Хомут NORMA 16-27 мм (№-1627) 799014		шт	27.00	 	 	8.000	216.00
Хомут NORMA 20-32 мм (№-2032) 799008		шт	27.00	 	 	8.000	216.00
Хомут NORMA 25-40 мм (№-2540) 799004		шт	30.00	 	 	10.000	300.00
Хомут NORMA 30-45 мм (№-3045) 799009		шт	30.00	 	 	10.000	300.00
Хомут NORMA 35-50 мм (№-3550) 799015		шт	30.00	 	 	10.000	300.00
Чехол для мультиметра М 830-серия желтый 16407		шт	56.00	 	 	1.000	56.00
Шило Sturm 10 см 1090-10-01 268295		шт	80.00	 	 	3.000	240.00
Шлиф круг резиновый с липучкой+переходник 125мм 645161		шт	130.00	 	 	2.000	260.00
Шлиф-лента бесконечная 75х533мм Р100 ЕРМАК 645178		шт	23.00	 	 	10.000	230.00
