						
						
						
Остатки ТМЦ на складах						
На дату: 24.08.20						
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Клеенка LASE  ТМ"HOZBAT" ( Ажур) 132*22м		шт	140.00	17.940	2'511.60	
Клеенка LASE  ТМ"HOZBAT" ( Ажур) 132*22м		шт	145.00	19.720	2'859.40	
Клеенка LASE  ТМ"HOZBAT" ( Ажур) 132*22м		шт	160.00	0.233	37.28	
Клеенка столовая "DEKOR-LUX" на тканевой основе 1.4*20м.TPW-064-S PW-0544A / 0570А/TPW-0842		шт	240.00	5.910	1'418.40	
Клеенка столовая "DEKOR-LUX" на тканевой основе 1.4*20м.TPW-064-S PW-0544A / 0570А/TPW-0842		шт	310.00	2.060	638.60	
Клеенка Хозбат (Guvenc) на тканевой основе 1.4*20м./ ЭЛЕГИЯ 140*20м PW-1178/		м	140.00	18.140	2'539.60	
Клеенка Хозбат (Guvenc) на тканевой основе 1.4*20м./ ЭЛЕГИЯ 140*20м PW-1178/		м	240.00	2.400	576.00	
Клеёнка в руллонах "HOZBAT" (стандарт)  140*25м/140*30м		м	90.00	3.940	354.60	
Клеёнка в руллонах "HOZBAT" (стандарт)  140*25м/140*30м		м	140.00	15.500	2'170.00	
Клеёнка ТМ HOZBAT "Модерн" 137*20м.   СОВЫ /ПЛЕТЕНКА PW-0789 /0968		шт	170.00	6.060	1'030.20	
Клеёнка ТМ HOZBAT "Модерн" 137*20м.   СОВЫ /ПЛЕТЕНКА PW-0789 /0968		шт	190.00	4.200	798.00	
Клеёнка ТМ HOZBAT "Элегия голд" 137*20м BTRA-8740D-LG-gold		шт	200.00	10.120	2'024.00	
Коврик  ТМ "HOZBAT" д/ванн 60*100см.1предмет. ОБЛЕГЧЕННЫЙ		шт	490.00	1.000	490.00	
Коврик  ТМ "HOZBAT" д/ванн 60*100см+ 60*50см .2предмет. ОБЛЕГЧЕННЫЙ		шт	740.00	1.000	740.00	
Коврик  ТМ "HOZBAT" д/ванн 60*100см+ 60*50см .2предмет. ОБЛЕГЧЕННЫЙ		шт	790.00	4.000	3'160.00	
Коврик ВИЛИНА  1,3*15м челны		шт	450.00	20.975	9'438.75	
Коврик д/ванной из вспененного ПВХ  0.65*15м 15105		шт	230.00	14.760	3'394.80	
Коврик для ванной из микрофибры 2пр. 50*80/50*40 см XW-01 ТМ HOZBAT		шт	830.00	2.000	1'660.00	
Коврик придверный (ФлорТ Офис) / (ФлорТ Экспо)  В АССОРТ. 49*80см 650 /450		шт	110.00	3.000	330.00	
Коврик придверный (ФлорТ Офис) / (ФлорТ Экспо)  В АССОРТ. 49*80см 650 /450		шт	120.00	2.000	240.00	
Коврик придверный (ФлорТ Офис) / (ФлорТ Экспо)  В АССОРТ. 49*80см 650 /450		шт	180.00	2.000	360.00	
Коврик придверный (ФлорТ Офис) В АССОРТ. 40*60см 450/650		шт	110.00	2.000	220.00	
Коврик придверный ТМ HOZBAT 40*60 без бортика  черный /серый/коричневый НХ008		шт	190.00	8.000	1'520.00	
Коврик придверный ТМ HOZBAT 45*75 без бортика черный /серый НХ002 /НХ005/NX001		шт	250.00	3.000	750.00	
Коврик придверный ТМ HOZBAT 45*75 без бортика черный /серый НХ002 /НХ005/NX001		шт	270.00	2.000	540.00	
Коврик придверный ТМ HOZBAT 60*90 без бортика  черный /серый/коричневый НХ020/НХ021/НХ023		шт	390.00	5.000	1'950.00	
Коврик противоскользящий д/ванн ТМ"HOZBAT"  YJ-8117-3 YJ-8002S/8102/8030/8005		шт	230.00	1.000	230.00	
Коврик ТМ "HOZBAT"для ванной из микрофибры 45*70 см XW-05		шт	435.00	2.000	870.00	
Коврик ТМ "HOZBAT"для ванной из микрофибры 45*70 см XW-05		шт	440.00	3.000	1'320.00	
Комод Ромашка / Плетенка  3 секц, 28706		шт	1'590.00	1.000	1'590.00	
Контейнер "Лофт" хоз. 355*130*170мм. 621031/622031		шт	200.00	1.000	200.00	
Контейнер д/хранения №6 (35л) в ассортим		шт	690.00	1.000	690.00	
Контейнер д/хранения №6 (35л) в ассортим		шт	715.00	1.000	715.00	
Контейнер д/хранения №6 (35л) в ассортим		шт	730.00	1.000	730.00	
Контейнер д/хранения №7 50л прозрачный БАБОЧКА		шт	970.00	1.000	970.00	
Контейнер для  стир.порошка 10л. РОТАНГ какао / бежевый 2111/1-19		шт	390.00	2.000	780.00	
Контейнер прямоугол. с декором 1100мл "Хиппи Кидс" "Коралл" 3931/145/146		шт	125.00	1.000	125.00	
Корзинка "Ромашки" 7,5л 350*245*105мм с крышкой в ассорт.		шт	280.00	3.000	840.00	
Корзинка для прищепок  в асс.		шт	75.00	3.000	225.00	
Кружка 1л,Красный/Мята 2810/1/23		шт	60.00	3.000	180.00	
Кружка 1л.с декором    /    Кувшин пласт 1,5л В АССОРТ. ,М1805		шт	90.00	3.000	270.00	
Крышка д/защиты от насекомых 26см.		шт	95.00	3.000	285.00	
Крышка для унитаза "Декор" Бабочка/Морс.звезда /Орхидея		шт	410.00	1.000	410.00	
Метла круглая наборная 4-х кольцовая с черенком (Стандарт) 1/10		шт	195.00	1.000	195.00	
Метла круглая наборная 4-х кольцовая с черенком (Стандарт) 1/10		шт	200.00	5.000	1'000.00	
Метла круглая наборная УСИЛЕННАЯ 5  колец с черенком длина ворса 70см.		шт	240.00	1.000	240.00	
Метла плоская  с черенком Горный Щит		шт	155.00	1.000	155.00	
МИНИ КОМОД 4-х секц.В АССОРТ,		шт	550.00	3.000	1'650.00	
Мыльница со сливом прозрачная ам6675		шт	50.00	5.000	250.00	
НАБОР  для уборки ТМ HOZBAT(Ведро с отжимом+швабра+насадка)		шт	900.00	3.000	2'700.00	
Набор пластиковых колец д/штор в ванную 12шт .В АССОРТ, 67410		шт	70.00	2.000	140.00	
Насадка для набора для уборки ТМ HOZBAT		шт	90.00	1.000	90.00	
Пластиковый веник №8 с несъемной ручкой		шт	245.00	1.000	245.00	
Пленка самоклейка 45смх 8м DEKORON В АССОРТ.		шт	45.00	135.550	6'099.75	
Покрытие д/пола ПВХ 0,65*15м V6694A/ V7007C/ V7016P/ V7401 V7182А/7205С/7226/7378С/		шт	270.00	1.620	437.40	
Полка для овощей "Хозяюшка" цвет В АССОРТ,		шт	790.00	1.000	790.00	
Противоскользящий коврик ТМ HOZBAT для выдвижных ящиков 50*150см А362		шт	175.00	4.000	700.00	
Противоскользящий коврик ТМ HOZBAT для выдвижных ящиков 50*150см А362		шт	220.00	2.000	440.00	
Сидение д/унитаза из пропилена с микролифтом L-042		шт	730.00	1.000	730.00	
Сиденье д/унитаза жёсткое"Ракушка"В АССОРТ.		шт	360.00	4.000	1'440.00	
Сиденье д/унитаза жёсткое"Ракушка"В АССОРТ.		шт	390.00	1.000	390.00	
Сиденье д/унитаза пластиковое с декором "Красн.мак/Водопад/ Беж.-корич.узор/белое 1110/70/03/6/813		шт	420.00	2.000	840.00	
Сиденье д/унитаза пластиковое с декором "Красн.мак/Водопад/ Беж.-корич.узор/белое 1110/70/03/6/813		шт	450.00	1.000	450.00	
Сиденье д/унитаза пластиковое с декором "Красн.мак/Водопад/ Беж.-корич.узор/белое 1110/70/03/6/813		шт	470.00	1.000	470.00	
Сиденье д/унитаза пластиковое с декором "Красн.мак/Водопад/ Беж.-корич.узор/белое 1110/70/03/6/813		шт	530.00	3.000	1'590.00	
Сиденье для унитаза "Комфорт Люкс" белый/БАНТИК  однотон. В АССОРТ,		шт	460.00	2.000	920.00	
Сиденье для унитаза СЕМЕЙНОЕ(мягкое +детское вкладыш)		шт	630.00	3.000	1'890.00	
Сиденье-ВКЛАДЫШ детское ТМ HOZBAT/"ZALEL" мягкое д/унитаза без ручек		шт	230.00	3.000	690.00	
Сиденье-ВКЛАДЫШ УСИЛЕННОЕ детское с ручками  ТМ ХОЗБАТ S-706		шт	465.00	3.000	1'395.00	
Скатерти ТМ HOZBAT ажурные LASE 140 см /160см КРУГЛАЯ		шт	390.00	1.000	390.00	
Скатерть "Ажур" D 140 / 160 436-087		шт	380.00	1.000	380.00	
Скатерть Mix design 140см*220см		шт	200.00	2.000	400.00	
Скатерть ТМ HOZBAT ПВХ шелкография с подложкой из фланели кгуглая D140/160см		шт	210.00	2.000	420.00	
Совок для мусора с резинкой		шт	75.00	5.000	375.00	
Сушилка д/белья потолочная "Лиана" ПЛЮС 1,7 м белая (Екатеринбург) СП160бел		шт	680.00	1.000	680.00	
Сушилка для посуды "Лидия" 663599  ///хозбадЛИДИЯ		шт	505.00	3.000	1'515.00	
Сушка ТМ HOZBAT для белья веревочная настенная вытяжная 6 верёвок м22   /  JH87-66		шт	490.00	2.000	980.00	
Таз без крышки 10л В АССОРТ арт.0810 0810/78//-97		шт	220.00	3.000	660.00	
Черенок березовый с резьбой евро 22*1200		шт	55.00	1.000	55.00	
Черенок березовый с резьбой евро 22*1200		шт	60.00	3.000	180.00	
Швабра с насадкой для уборки ТМ HOZBAT		шт	450.00	2.000	900.00	
Штора ТМ "HOZBAT" ТЕКСТИЛЬНАЯ с кольцами 180*180 см 1/50 DY-001		шт	450.00	11.000	4'950.00	
Этажерка угловая 4-х яр.беж/кор. 1604/15		шт	560.00	1.000	560.00	
Аэратор М24*1 М24M2BL  подвижный 65047		шт	150.00	1.000	150.00	
Аэратор М24*1 М24MOBL 65046		шт	120.00	2.000	240.00	
Картридж 35D1BL 65044		шт	230.00	1.000	230.00	
Кран букса резин. OL MG24R20 65045		шт	165.00	5.000	825.00	
Мойка эмалированная накладная 50*60 ГОМЕЛЬ 25537		шт	1'450.00	1.000	1'450.00	
см/ванна AVILA 02221AV		шт	5'290.00	1.000	5'290.00	
см/кухня "Натура" 77W / 77BN - белый /бежевый		шт	3'090.00	1.000	3'090.00	
см/раковина Barros 22100BR 65019		м	3'800.00	1.000	3'800.00	
Смеситель д/биде ORCA Салерно ORC3022 A07		шт	2'550.00	1.000	2'550.00	
Шланг напорный газовый Г/Шт.  Г/Г  1,5 м		шт	250.00	1.000	250.00	
Шланг напорный газовый Г/Шт.  Г/Г  2,0м		шт	430.00	1.000	430.00	
11Б27п1 Кран шаровой латунный  !ЖЕЛТЫЙ!     1/2" ВР-НР бабочка AQUALINK арт.4776 4776		шт	165.00	10.000	1'650.00	
11Б27п1 Кран шаровой латунный  !ЖЕЛТЫЙ!    1/2" ВР-НР рычаг AQUALINK арт.4772 4772		шт	165.00	5.000	825.00	
Аэратор для трубчатого излива металл (внутр. резьба 22мм) ZERICH SAZTMF12 SAZTMF12		шт	35.00	29.000	1'015.00	
Вантуз цилиндрический с пласт. ручкой D100//140 большой 50009		шт	95.00	3.000	285.00	
Вантуз цилиндрический с пласт. ручкой D100//140 большой 50009		шт	130.00	3.000	390.00	
Вентиль 25*90 Valfex 1/25/5  2770 90692 4		шт	149.00	2.000	298.00	
Вентиль 3/4" г/г лат 15Б3р ДУ-20 LEXLINE		шт	490.00	2.000	980.00	
Вентилятор 200*200 D202203 со шнуром D-Lin 202203		шт	1'790.00	1.000	1'790.00	
Вентилятор d100 б/шнура с обр. клапаном S007-0290 Dospel 1/20 00001225		шт	1'090.00	1.000	1'090.00	
Вентилятор d125 б/шнура Hardi 1/20 504901		шт	1'240.00	1.000	1'240.00	
Воздуховод d125 (60мкр) 3м 125 ВА Виенто		шт	350.00	1.000	350.00	
Воздуховод d130 (60мкр) 3м 130 ВА Виенто		шт	335.00	1.000	335.00	
Воздуховод пластиковый круглый d-125,1м,В12,5ВК1		шт	295.00	1.000	295.00	
Воздуховод пластиковый прямоуг.1,5м 55*110 разборный В511ВП1,5		шт	340.00	1.000	340.00	
Воздуховод пластиковый прямоуг.2,0м разборный 55*110 В511ВП2		шт	450.00	1.000	450.00	
Воздуховод Флекс (60мкр./90мкр) 3м 135 0110131		шт	370.00	1.000	370.00	
Держатель д/бумаги без крышки Р2903-2 Potato 29032 2		шт	420.00	2.000	840.00	
Держатель д/душа пластик DK413/ D61112/13/14/15/16 371		шт	135.00	8.000	1'080.00	
Держатель для шланга стир.машины пластик		шт	50.00	1.000	50.00	
Заглушка 32 Valfex 1/250/50 90695 19		шт	12.00	1.000	12.00	
Заглушка д/рейлинга 0,9мм пластик,хром 010А / ПАРА 95701		шт	40.00	2.000	80.00	
Заглушка д/рейлинга 16мм ,хром "Ретро" 033-16 121062		шт	135.00	4.000	540.00	
Заглушка для тюльпана белая		шт	85.00	4.000	340.00	
Заглушка резьбовая 25*3/4 Valfex 1/600/150 90698 22		шт	4.00	5.000	20.00	
Излив для кухни ГОФРИРОВАННЫЙ 20657 (2х режимный аэр.) 20657		шт	455.00	1.000	455.00	
Клапан обратный 3/4 Astek уп.12шт. 501051 24		шт	340.00	1.000	340.00	
КНЛ  110  ПАТРУБОК  КОМПЕНСАЦИОННЫЙ  110  "ПОЛИТЭК" 900110		шт	120.00	4.000	480.00	
Кнопка нажимная 2-реж. И-СБ2-АА-КМ метал. 55835 орион		шт	90.00	5.000	450.00	
Компенсационная петля 25  Valfex  1/40/1 2782 90945 27		шт	131.00	3.000	393.00	
Комплект настенный универс. 20*1/2 Valfex 1/12/4 2741 2741 28		шт	201.00	4.000	804.00	
Комплект настенный универс. 25*1/2 Valfex 1/12/4 2742 2742 29		шт	228.00	5.000	1'140.00	
Кран шар баб. 1 г/г GR 1/80 серия 200		шт	525.00	4.000	2'100.00	
Кран шар баб. 1 г/ш ProfECO		шт	480.00	4.000	1'920.00	
Кран шар баб. 3/4 ш/ш AQUALINK уп.8шт. 48447 42		шт	295.00	2.000	590.00	
Кран шар д/радиатора прямой 25-3/4 Valfex 1/40/20  2918 2918 49		шт	315.00	2.000	630.00	
Кран шар руч. 3/4 г/г 11Б27п1 ДУ20 РУ16 Бологое 500495 60		шт	320.00	2.000	640.00	
Кран шаровой "МИНИ" 1/2 ВР-НР ХРОМ AQUALINK арт.01321 01321		шт	205.00	1.000	205.00	
КРАН-БУКСА 1/2" кер квадрат П/КРЕСТ удлин шток ПСМ 1292 1292		шт	115.00	5.000	575.00	
Крепеж 110 ПП Водполимер ХК9705 93171 65		шт	25.00	35.000	875.00	
Крепеж для тюльпана костыль RR-755 (Крепеж угловой Remer)		шт	115.00	15.000	1'725.00	
Крепеж для унитаза и раковины RR-733		шт	205.00	2.000	410.00	
Крепление д/елочки (под 2 шпильки) 515298		шт	20.00	12.000	240.00	
ЛЕЙКА TeRma 20489 для биде 20489		шт	185.00	1.000	185.00	
Лопатка кулинарная дерев. большая 53018		шт	30.00	2.000	60.00	
Люк ревизионный 250/400 (Люкс) ЛК2540		шт	405.00	1.000	405.00	
Люк ревизионный 400/400 (Люкс) ЛК4040		шт	590.00	1.000	590.00	
Лючок ревизионный пластиковый Д250х250		шт	255.00	1.000	255.00	
Лючок ревизионный пластиковый Д250х300		шт	275.00	1.000	275.00	
Лючок ревизионный пластиковый Д300х300		шт	350.00	2.000	700.00	
Лючок ревизионный пластиковый с замком Д200х400		шт	400.00	1.000	400.00	
Лючок ревизионный пластиковый с замком Д250х300		шт	360.00	1.000	360.00	
Манжета переходная 25*32 512955		шт	15.00	8.000	120.00	
Манжета унитазная эксц 40мм /110мм W0410 507596		шт	150.00	1.000	150.00	
Мойка Модель 16/Q7 (хлопок) матовая 755*495*210 с сифоном, герметиком, фрезой Gota Ro		шт	4'990.00	1.000	4'990.00	
Мойка накладная 0,6мм 800*600 гл.16см. вып. 3 1/2 прямоуг. матовая Р66080-1R Potato		шт	2'490.00	1.000	2'490.00	
Муфта 1 г/г		шт	150.00	1.000	150.00	
Муфта 1 г/г		шт	290.00	3.000	870.00	
Муфта 1/2 г/г лат LEXLINE 15 уп.25шт. 511754 орион		шт	37.00	2.000	74.00	
Муфта PP-R комб. разъемная вн./р. DN 25х1/2" СТМ ПЛАСТ CPRF2512 CPRF2512		шт	135.00	2.000	270.00	
Муфта комб. гайка. 20*3/4  Valfex 1/100/25  2821 89060 84		шт	42.00	3.000	126.00	
Муфта комб. гайка. 25*1/2  Valfex 1/100/25  2822 89062 85		шт	33.00	2.000	66.00	
Муфта комб. гайка. 25*1/2  Valfex 1/100/25  2822 89062 85		шт	50.00	3.000	150.00	
Муфта комб. разъем. гайка 25*1 GR		шт	210.00	3.000	630.00	
Муфта комб. разъем. гайка 25*3/4 GR (В526) 400071		шт	170.00	3.000	510.00	
Муфта комб. разъемн. гайка 20*3/4 Valfex 1/125/25  2994 2994 88		шт	145.00	3.000	435.00	
Муфта комб. разъемн. штуцер 20*1/2 Valfex 1/100/20  2755 89046 94		шт	100.00	1.000	100.00	
Муфта комб. разъемн. штуцер 25*1 Valfex 1/50/10  2928 93213 96		шт	225.00	1.000	225.00	
Муфта комб. штуцер 25*1/2  Valfex 1/100/25  2828 89063 101		шт	60.00	5.000	300.00	
Муфта комб. штуцер 25*1/2  Valfex 1/100/25  2828 89063 101		шт	75.00	8.000	600.00	
Муфта переходная   1/2 ш-1г   ш/г 142		шт	105.00	4.000	420.00	
Муфта переходная   3/4 ш -1 г  ш/г		шт	105.00	1.000	105.00	
Муфта переходная   3/4 ш -1 г  ш/г		шт	145.00	6.000	870.00	
НВ  Кран шар, присоединительный комплект 1/2" (Х105) 1/1 X105		шт	910.00	1.000	910.00	
Ниппель 1 ш/ш		шт	80.00	5.000	400.00	
Ниппель 3/4 ш/ш STM SRNM0034 уп.10шт. 36593		шт	10.00	6.000	60.00	
Обвод (С Тип) 25 Valfex 1/150/25 90710 121		шт	20.00	4.000	80.00	
Обвод (С Тип) 25 Valfex 1/150/25 90710 121		шт	55.00	9.000	495.00	
Обвод с муфтами 25 Valfex 1/75/15 90713 123		шт	25.00	9.000	225.00	
Обвод с муфтами 32 Valfex 1/40/8 90714 124		шт	51.00	4.000	204.00	
ОБЛИЦОВКА д/перелива БЕЛАЯ (21,7 мм /24,4мм) 68001		шт	20.00	2.000	40.00	
ОБЛИЦОВКА д/перелива ХРОМ (21,7 мм /24,4мм) 68001		шт	40.00	2.000	80.00	
Патрубок 3/4*16 г/ц LTM уп.10шт. 320223 136		шт	110.00	5.000	550.00	
Патрубок 3/4*16 ш/ц LTM уп.10шт. 320224 137		шт	95.00	6.000	570.00	
ПЕРЕХОДНИК  на р/шл 1/2 ш-16 мм 155		шт	65.00	1.000	65.00	
Переходник д/шланга (серая пластм)/Штуцер под шланг 22х19 пластик SRSP2219 SRSP2219		шт	10.00	3.000	30.00	
Переходник д/шланга (серая пластм)/Штуцер под шланг 22х19 пластик SRSP2219 SRSP2219		шт	15.00	13.000	195.00	
Переходник на р/шл 1/2 ш-10 ЛАТ LEXLINE уп.25шт. 512244 152		шт	33.00	4.000	132.00	
Переходник на р/шл 1/2 ш-18 ЛАТ LEXLINE уп.25шт. 512248 156		шт	60.00	2.000	120.00	
Переходник эксцентриковый универс.D100/110/120/125/150/160		шт	100.00	3.000	300.00	
Переходник эксцентриковый универс.D150/125/120/100/80		шт	10.00	10.000	100.00	
Переходник эксцентриковый универс.D150/125/120/100/80		шт	95.00	1.000	95.00	
Площадка торц. с РЕШ ""ФЛЕКС"" d 110 П"		шт	95.00	1.000	95.00	
Площадка торц. с РЕШ ""ФЛЕКС"" d 110 П"		шт	125.00	1.000	125.00	
Площадка торц. с РЕШ ""ФЛЕКС"" d 115 П"		шт	145.00	4.000	580.00	
Площадка торц. с РЕШ ""ФЛЕКС"" d 125 П"		упак	145.00	2.000	290.00	
Площадка торц. с РЕШ ""ФЛЕКС"" d 125 П"		упак	170.00	1.000	170.00	
Площадка торцевая  ""ФЛЕКС""  d 130 П"		шт	160.00	3.000	480.00	
Площадка торцевая металл d=125 фланец		шт	160.00	2.000	320.00	
Площадка торцевая с решеткой d135 Флекс		шт	135.00	1.000	135.00	
Площадка торцевая с решеткой d140 Флекс		шт	155.00	1.000	155.00	
Площадка торцевая с решеткой d90 Флекс		шт	145.00	1.000	145.00	
Поручень для ванны  OUTE   30 см 12" TF01-12		шт	825.00	1.000	825.00	
Пробка HC57 с треугольным держателем 60 мм под цепочку Mc'Alpine HC57		м	50.00	1.000	50.00	
Редукция 50/40 внутр.канал РТП		шт	50.00	5.000	250.00	
Рем.набор д/смесителей Капелька 1/50/500 121027		шт	20.00	1.000	20.00	
Рем.набор универсальный №71 уп.20шт. 510981		шт	20.00	5.000	100.00	
Решетка вент.с рамкой разъемная 150*150 1515ВР/НР		шт	85.00	2.000	170.00	
Решетка вент.с рамкой разъемная 180*250 1825ВР/НР		шт	130.00	3.000	390.00	
Решетка вент.с рамкой разъемная 200*300 2030ВР		шт	185.00	1.000	185.00	
Решетка вент.с рамкой разъемная 200*300 2030ВР		шт	195.00	2.000	390.00	
Решетка вент.с рамкой разъемная 250*250 2525ВР		шт	185.00	1.000	185.00	
Решетка вентиляционная 170*240 1724С ПС ж/нак с сеткой без рамки 509035		шт	115.00	1.000	115.00	
Решетка вентиляционная переточная 450*130 4513Рсл.кость АБС-пластик		шт	145.00	2.000	290.00	
Решетка радиаторная вентиляционная 600*600 белая П6060Р ПВХ П6060Р		шт	370.00	2.000	740.00	
Решетка радиаторная вентиляционная 600*900мм. слоновая кость/бежевая В6090ПР ПВХ В6090ПР		шт	590.00	1.000	590.00	
Сетка сменная для фильтра   1/2" (100 мкм) - 3/4 (500мкм)		шт	20.00	4.000	80.00	
СИДЕНЬЕ для унитаза УКЛАД СУ 70.03.00 "ЛИРА" КИР. КЕРАМ. (г. Псков) 70.03.00  !!!!!!!!!!!!!		шт	540.00	2.000	1'080.00	
СИДЕНЬЕ для унитаза УКЛАД СУ 72.01.00 "ВИКТОРИЯ" Roca Group (г. Псков) 72.01.00		шт	530.00	1.000	530.00	
СИДЕНЬЕ для унитаза УКЛАД СУ 76.03.00 "Гессо" W101 г. Волгоград (г. Псков) 76.03.00		шт	590.00	1.000	590.00	
СИДЕНЬЕ для унитаза УКЛАД СУ 78.05.00 "НОРД" КИР. КЕРАМ. (г. Псков) 78.05.00		упак	550.00	2.000	1'100.00	
СИДЕНЬЕ для унитаза УКЛАД СУ 81.05.00 "РЕССА" КИР. КЕРАМ. (г. Псков) 81.05.00		шт	555.00	2.000	1'110.00	
Смеситель  Lomond д/кухни шар. с выдвижной лейкой 11333 нержав.сталь Golden Fox 11333		шт	3'790.00	1.000	3'790.00	
Смеситель  Lomond д/кухни шар. с высоким изливом 11334 медь нержав.сталь Golden Fox 11334		шт	6'990.00	1.000	6'990.00	
Смеситель  Lomond д/кухни шар. с высоким изливом 11335 черный нержав.сталь Golden Fox 11335		шт	6'990.00	1.000	6'990.00	
Смеситель  Lomond д/кухни шар. с высоким изливом, с выходом д/пит.воды 11350 нержав.с 11350		шт	6'290.00	1.000	6'290.00	
Смеситель  Lomond д/кухни шар. с высоким изливом,поворот.аэратором 11332 нержав.сталь 11332		шт	3'490.00	1.000	3'490.00	
Смеситель  Lomond д/кухни шар. с гибким силиконовым изливом черный 11320 нержав.сталь 11320		шт	2'790.00	1.000	2'790.00	
Смеситель Exmoor д/ванны шар. с длинным поворотным излив 10135 латунь Golden Fox 10135		шт	6'490.00	1.000	6'490.00	
Смеситель Hyde д/кухни шар. с высоким изливом 10630 черный с золотом латунь Golden Fo 10630		шт	7'290.00	1.000	7'290.00	
Смеситель Kitchen pro д/кухни шар. с высоким изливом 11031 латунь Golden Fox 11031		шт	3'750.00	1.000	3'750.00	
Смеситель Moors д/ванны шар. с длинным поворотным излив 11135 латунь Golden Fox 11135		шт	6'595.00	1.000	6'595.00	
Смеситель New Forest д/кухни шар. с длинным изливом 10225 латунь Golden Fox 10225		шт	3'390.00	1.000	3'390.00	
Смеситель Victoria д/ванны с 2-мя рукоятками, длинный поворот.излив 10535 бронза лату 10535		шт	5'990.00	1.000	5'990.00	
Смеситель Victoria д/кухни с 2-мя рукоятками, с высоким изливом 10530 бронза латунь G 10530		шт	3'320.00	1.000	3'320.00	
Смеситель Yorkshire Dales д/кухни шар. с высоким изливом, креп.гайка 11231 латунь Gol 11231		шт	3'090.00	1.000	3'090.00	
Смеситель д/ванны дл. излив MI Java, JAVSBL0M10 Milardo 88554 9		шт	4'200.00	1.000	4'200.00	
Смеситель д/ванны шар. с длинным поворотным изливом G054710 Leone Gota Rocio 054710		шт	2'790.00	1.000	2'790.00	
Смеситель д/ванны шар. с длинным поворотным изливом G064710 Teruel Gota Rocio 064710		шт	2'650.00	1.000	2'650.00	
Смеситель д/кухни с 2-мя рукоятками пристен. 1/2 рез. бел.мах. ЦС-СМ 294 ЭКО Подольск 2203		шт	1'890.00	1.000	1'890.00	
Смеситель д/кухни с 2-мя рукоятками с высоким изливом G342310 Orio Gota Rocio 342310		шт	1'090.00	1.000	1'090.00	
Смеситель д/кухни с 2-мя рукоятками с высоким изливом, креп. гайка G343310 Orio Gota 343310		шт	1'090.00	1.000	1'090.00	
Смеситель д/кухни шар. с длинным изливом G163110 d40 Salamanca Gota Rocio		шт	1'390.00	2.000	2'780.00	
Смеситель д/кухни шар. с длинным изливом G742921 d40 Gota Rocio 742921		шт	1'290.00	1.000	1'290.00	
Смеситель д/кухни шар. с длинным изливом, креп.гайка 497025 d40 Антей уп 2шт 497025		шт	1'390.00	2.000	2'780.00	
Смеситель д/кухни шар. с длинным изливом, креп.гайка G497024 d40 Антей уп.2шт 497024G		шт	1'350.00	1.000	1'350.00	
Смеситель д/кухни шар. с силикон. изливом, креп.гайка серый G302538 d35 Santa Barbara		шт	2'890.00	1.000	2'890.00	
Смеситель д/кухни шар. с силикон. изливом,креп.гайка белый G302531 d35 Santa Barbara		шт	2'890.00	1.000	2'890.00	
Смеситель д/умывальника с 2-мя рукоятками, с цвет.ручками зеленый G7105411 Gota Rocio 7105411		шт	990.00	2.000	1'980.00	
Смеситель д/умывальника шар. креп.гайка с лейкой гигиен. G712910 d40 Gota Rocio 712910		шт	3'190.00	1.000	3'190.00	
Смеситель с электронагревом д/умывальника, белый G90057 Gota Rocio 90057		шт	3'590.00	1.000	3'590.00	
Смеситель с электронагревом д/умывальника, белый G90057 Gota Rocio 90057		шт	4'190.00	1.000	4'190.00	
Соединение прямое г/ш 1"х3/4" для п/с хром. СТМ ТЕРМО (пара) CPCM0134		шт	930.00	2.000	1'860.00	
Соединение угловое г/ш 1" с накид. гайкой для п/с хром. СТМ ТЕРМО CPAEFM01		шт	780.00	2.000	1'560.00	
Соединитель американка угловая 1 г/ш FORTUM 2390		шт	355.00	1.000	355.00	
СЧЕТЧИК на воду универсальный СВК15Г без креп. ГЕРРИДА Казань		шт	650.00	8.000	5'200.00	
СЧЕТЧИК на воду универсальный СВК15Г с креп. ГЕРРИДА Казань		шт	690.00	20.000	13'800.00	
Тройник 1/2 ш/ш/ш ЛАТ Lexline 15 уп.10шт. 511773 181		шт	200.00	13.000	2'600.00	
Тройник 20*1/2*20 ц/ш/ц LTM уп.10шт. 269520 191		шт	144.00	1.000	144.00	
Тройник 20*1/2*20 ц/ш/ц LTM уп.10шт. 269520 191		шт	200.00	1.000	200.00	
Тройник 20*1/2*20 ц/ш/ц LTM уп.10шт. 269520 191		шт	320.00	3.000	960.00	
Тройник 3/4 г/г/г ЛАТ Lexline 20 уп.5шт. 511774 2569/511774		шт	140.00	5.000	700.00	
Тройник 3/4 г/ш/г ЛАТ Lexline 20 уп.5шт. 91678 196		шт	130.00	1.000	130.00	
Тройник 3/4 г/ш/г ЛАТ Lexline 20 уп.5шт. 91678 196		шт	350.00	5.000	1'750.00	
Тройник 3/4 г/ш/ш ЛАТ Lexline 20 уп.5шт. 513025 197		шт	117.00	2.000	234.00	
Тройник 3/4 г/ш/ш ЛАТ Lexline 20 уп.5шт. 513025 197		шт	130.00	4.000	520.00	
Тройник 3/4 ш/ш/ш LexLine уп.10шт. 91680 199		шт	110.00	1.000	110.00	
