						
						
						
Остатки ТМЦ на складах						
На дату: 24.08.20						
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 22x260/310 мм 49-22310/49-22260		шт	680.00	1.000	680.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 22x600 мм 49-22600		шт	1'410.00	1.000	1'410.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 25x600 мм 49-25600		шт	1'440.00	1.000	1'440.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 5x110 мм 49-5110		шт	90.00	3.000	270.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 6x110 мм 49-6110		шт	90.00	7.000	630.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 6x160 мм 49-6160		шт	100.00	12.000	1'200.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 6x260 мм 49-6260		шт	135.00	2.000	270.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 6x260 мм 49-6260		шт	160.00	6.000	960.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 8x110 мм 49-8110		шт	90.00	2.000	180.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 8x310 мм 49-8310		шт	190.00	2.000	380.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль,три режущие кромки,12*460/12x600 мм 49-12600		шт	275.00	1.000	275.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль,три режущие кромки,12*460/12x600 мм 49-12600		шт	465.00	1.000	465.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль,три режущие кромки,14x260/14*310 мм 49-14260/49-14310		шт	250.00	2.000	500.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль,три режущие кромки,14x260/14*310 мм 49-14260/49-14310		шт	255.00	3.000	765.00	
Бур по бетону CUTOR,Profi Plus-двойная спираль,три пылеотводящие кромки,5*160 49-5160		шт	90.00	2.000	180.00	
Бур по бетону SDS PLUS с двойной резьбой8*160/16*260/16*310 32914 /32616/32638/32648		шт	205.00	1.000	205.00	
Бур по бетону SDS PLUS с двойной резьбой8*160/16*260/16*310 32914 /32616/32638/32648		шт	245.00	1.000	245.00	
Бур по бетону SDS+ 20,0*460		шт	700.00	1.000	700.00	
Буравчики, набор 4 шт 46861		шт	110.00	2.000	220.00	
Валик, ядро 15 мм., 100% велюр, ворс 5 мм, под 6 мм ручку, 150 мм 30-1109		шт	80.00	1.000	80.00	
Валик, ядро 48 мм., полиакрил, ворс 9 мм, под 8 мм ручку, 250 мм 30-0797 30-0797		шт	190.00	1.000	190.00	
Вороток (трещотка)  1/2" 62303/62363		шт	675.00	1.000	675.00	
Вороток (трещотка)  1/2" 62303/62363		шт	1'035.00	1.000	1'035.00	
Гайка барашковая (DIN 315) М5 100 шт Фасовка 28742-0		упак	5.00	234.000	1'170.00	
Гайка барашковая (DIN 315) М6 100 шт Фасовка 28743-0		упак	5.00	-7.000	-35.00	
Гайка барашковая (DIN 315) М6 100 шт Фасовка 28743-0		упак	7.00	99.000	693.00	
Гвозди строительные ГОСТ 1028-63 3,*70 / 2,5*60 / 2,5*50 29235/29234/29233		упак	17.00	14.000	238.00	
Гвозди строительные ГОСТ 4028-63 1,6х25 (фасовка 60 гр.) 29225-2		шт	30.00	8.000	240.00	
Гвозди финишные 1,8х30  (фасовка)		упак	70.00	10.000	700.00	
Гвозди финишные омедненные 1,4 х 25 /30 /35/40  (фасовка 40 шт.) 31118 /31119 /31120-2		шт	25.00	10.000	250.00	
Гвозди финишные омедненные 1,4 х 25 /30 /35/40  (фасовка 40 шт.) 31118 /31119 /31120-2		шт	30.00	2.000	60.00	
Гвозди финишные оцинкованные (РМ3) 1,8х40/1.8*50 120 гр. (фасовка) 29268-3/29272-3		упак	65.00	2.000	130.00	
Гвозди финишные оцинкованные (РМ3) 1.6*20/1,6х25 120 гр. (фасовка) 29265-3/29264-3		упак	65.00	5.000	325.00	
Гвоздодер с изолированной ручкой, Профи, 300 х 16 мм 46933		шт	290.00	1.000	290.00	
Генератор линии лазерный 18671		шт	990.00	1.000	990.00	
Грабли с витыми зубьями 12 зубьев 76958		шт	125.00	1.000	125.00	
Грабли, прямой зуб, 12 зубьев, 350 х 100 мм 77009		шт	270.00	2.000	540.00	
Гравировальная машина мини 12 Вт; 12000 об/мин; 3,2 мм; адаптер; набор насадок; пласт 80530		шт	1'150.00	1.000	1'150.00	
Диск алмазный отрезной сегментный 150х22,2 мм 37213М		шт	370.00	2.000	740.00	
Диск алмазный шлифовальный, двойной сегмент CUTOP, 125 x 5.0 x 8.0 x 22.2 мм 63-12560		шт	925.00	1.000	925.00	
